역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수
서울,86.9,676.0,25.7,0.6,137657.0
시청,102.0,535.0,33.7,0.5,58210.0
종각,79.4,562.0,35.0,0.6,85411.0
동대문,89.4,566.0,28.5,0.7,62261.0
동묘앞,93.6,606.0,32.0,0.5,40550.0
신설동,97.1,564.0,44.5,0.4,30975.0
제기동,98.7,518.0,12.0,0.5,28119.0
청량리,89.5,503.0,32.5,0.6,78953.0
시청,88.3,606.0,19.0,0.4,58210.0
을지로입구,89.1,549.0,34.0,0.5,77013.0
동대문역사문화공원,77.2,622.0,13.9,0.7,74147.0
신당,68.7,526.0,21.7,0.5,30617.0
상왕십리,82.8,465.0,31.0,0.8,15563.0
왕십리,87.1,489.0,27.0,0.7,58964.0
잠실,76.2,668.0,27.3,0.6,260055.0
잠실새내,88.8,447.0,31.0,0.6,43154.0
종합운동장,82.2,463.0,11.3,0.5,35906.0
삼성,77.0,604.0,8.0,0.6,106691.0
선릉,82.0,667.0,12.5,0.6,35697.0
역삼,87.7,584.0,32.5,0.6,26963.0
강남,91.7,685.0,34.0,0.7,113425.0
교대,92.9,602.0,29.0,0.8,34157.0
서초,92.4,538.0,19.5,0.7,36228.0
방배,89.4,507.0,27.5,0.6,18955.0
사당,92.4,496.0,36.3,0.5,89078.0
낙성대,98.8,517.0,35.0,0.5,35824.0
서울대입구,91.7,530.0,15.0,0.5,64303.0
봉천,91.0,443.0,20.5,0.5,27782.0
신림,100.3,508.0,18.0,0.5,99503.0
신도림,85.9,531.0,19.0,0.8,87422.0
문래,89.1,475.0,25.0,0.6,16138.0
영등포구청,86.5,516.0,15.0,0.6,20695.0
합정,89.8,565.0,21.0,0.7,74347.0
홍대입구,84.3,658.0,23.0,0.8,200393.0
신촌,81.6,589.0,35.0,0.9,80303.0
이대,81.3,453.0,18.0,0.5,28692.0
아현,90.3,451.0,30.0,0.4,12667.0
충정로,88.7,486.0,26.3,0.5,13808.0
도림천,87.0,418.0,24.5,0.4,891.0
양천구청,89.6,450.0,22.5,0.5,7620.0
신정네거리,90.7,467.0,29.5,0.9,11864.0
신설동,94.5,531.0,29.3,0.5,30975.0
용두,84.5,421.0,19.5,0.4,2827.0
구파발,89.1,584.0,29.5,0.4,26592.0
연신내,96.7,593.0,18.0,0.4,56779.0
무악재,96.4,618.0,43.5,0.7,4763.0
독립문,95.0,562.0,46.5,0.5,10969.0
경복궁,85.7,605.0,57.0,0.6,33356.0
충무로,96.2,683.0,35.0,0.5,29264.0
동대입구,89.5,609.0,15.0,0.5,18414.0
압구정,65.5,616.0,28.0,0.8,36028.0
고속터미널,77.4,923.0,21.0,0.8,162039.0
남부터미널,76.2,655.0,19.0,0.7,40412.0
학여울,75.5,558.0,22.0,0.7,1742.0
가락시장,76.2,597.0,31.3,0.6,20740.0
