역명,총 승객수
가락시장,36748
가산디지털단지,100628
강남,203667
강남구청,45180
강동,35788
강동구청,21660
개롱,13132
개화산,11530
거여,14316
건대입구,137453
경복궁,48317
경찰병원,15134
고덕,18900
고려대,18544
고속터미널,201646
공덕,76183
공릉,24105
광나루,25159
광명사거리,53885
광화문,84053
광흥창,18431
교대,89374
구산,13909
구파발,39622
군자,49825
굽은다리,19303
금호,16913
길동,16360
길음,42419
김포공항,55279
까치산,60327
낙성대,56860
남구로,32998
남부터미널,66890
남성,21987
남태령,2568
남한산성입구,25294
내방,26717
노원,101475
녹번,24565
녹사평,12970
논현,37126
단대오거리,21394
답십리,32106
대림,84924
대청,18636
대치,24914
대흥,16389
도곡,23077
도림천,2150
독립문,15041
독바위,5715
돌곶이,15996
동대문,77584
동대문역사문화공원,94342
동대입구,25211
동묘앞,38380
둔촌동,18397
디지털미디어시티,52550
마곡,11604
마들,23405
마장,13076
마천,10415
마포,27402
마포구청,27116
망원,29259
매봉,20523
먹골,21162
면목,30356
명동,100234
명일,16311
모란,52597
목동,37278
몽촌토성,12036
무악재,7753
문래,40128
문정,31904
미아,34117
미아사거리,61976
반포,12448
발산,31555
방배,33629
방이,14118
방화,14318
버티고개,4520
보라매,17284
보문,17250
복정,19891
봉천,47595
봉화산,18982
불광,51856
사가정,32219
사당,132652
산성,10709
삼각지,20786
삼성,159643
상도,20120
상봉,46701
상수,23745
상왕십리,28121
상월곡,10775
상일동,20368
새절,25406
서대문,37330
서울대입구,105795
서울,194273
서초,47451
석계,46138
석촌,26828
선릉,124246
성신여대입구,57186
송정,17964
송파,11582
수락산,26759
수서,61808
수유,81545
수진,11066
숙대입구,31204
숭실대입구,25146
시청,113670
신금호,12942
신길,24109
신당,46185
신대방삼거리,32449
신도림,125209
신림,141525
신사,73016
신설동,45600
신용산,33391
신정,25697
신정네거리,19014
신촌,106476
신풍,21450
신흥,10198
쌍문,63168
아차산,28696
아현,20382
안국,45718
안암,26496
암사,35383
압구정,71915
애오개,14337
약수,35596
양재,74210
양천구청,13455
양평,19939
어린이대공원,25450
여의나루,14100
여의도,88536
역삼,88327
역촌,8658
연신내,85974
영등포구청,51609
영등포시장,20274
오금,18194
오목교,53093
온수,31768
올림픽공원,28855
왕십리,86156
용두,5118
용마산,11893
우장산,30343
월곡,23993
월드컵경기장,12636
을지로3가,72751
을지로4가,39825
을지로입구,121523
응암,36180
이대,42060
이촌,30960
이태원,51632
일원,18858
잠실,238075
잠실새내,54556
잠원,12181
장승배기,21954
장지,38468
장한평,36003
제기동,43699
종각,124961
종로3가,146453
종로5가,64192
종합운동장,24902
중계,28847
중곡,19604
중화,22899
증산,20403
창신,6500
천왕,16995
천호,85280
철산,47812
청구,14680
청담,39900
청량리,96804
총신대입구,45800
충무로,66054
충정로,30482
태릉입구,26663
하계,37750
학동,37385
학여울,3228
한강진,15660
한성대입구,28963
합정,102172
행당,15938
혜화,88496
홍대입구,229901
홍제,37402
화곡,58688
화랑대,21017
회현,58180
효창공원앞,18271
