역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소
서울,86.9,676.0,25.7,0.6
시청,102.0,535.0,33.7,0.5
종각,79.4,562.0,35.0,0.6
종로가,87.7,495.0,32.0,0.6
종로가,90.1,591.0,29.7,0.4
동대문,89.4,566.0,28.5,0.7
동묘앞,93.6,606.0,32.0,0.5
신설동,97.1,564.0,44.5,0.4
제기동,98.7,518.0,12.0,0.5
청량리,89.5,503.0,32.5,0.6
시청,88.3,606.0,19.0,0.4
을지로입구,89.1,549.0,34.0,0.5
을지로가,76.4,605.0,31.0,0.5
을지로가,89.4,478.0,26.0,0.6
동대문역사문화공원,77.2,622.0,13.9,0.7
신당,68.7,526.0,21.7,0.5
상왕십리,82.8,465.0,31.0,0.8
왕십리,87.1,489.0,27.0,0.7
잠실,76.2,668.0,27.3,0.6
잠실새내,88.8,447.0,31.0,0.6
종합운동장,82.2,463.0,11.3,0.5
삼성,77.0,604.0,8.0,0.6
선릉,82.0,667.0,12.5,0.6
역삼,87.7,584.0,32.5,0.6
강남,91.7,685.0,34.0,0.7
교대,92.9,602.0,29.0,0.8
서초,92.4,538.0,19.5,0.7
방배,89.4,507.0,27.5,0.6
사당,92.4,496.0,36.3,0.5
낙성대,98.8,517.0,35.0,0.5
서울대입구,91.7,530.0,15.0,0.5
봉천,91.0,443.0,20.5,0.5
신림,100.3,508.0,18.0,0.5
신도림,85.9,531.0,19.0,0.8
문래,89.1,475.0,25.0,0.6
영등포구청,86.5,516.0,15.0,0.6
합정,89.8,565.0,21.0,0.7
홍대입구,84.3,658.0,23.0,0.8
신촌,81.6,589.0,35.0,0.9
이대,81.3,453.0,18.0,0.5
아현,90.3,451.0,30.0,0.4
충정로,88.7,486.0,26.3,0.5
도림천,87.0,418.0,24.5,0.4
양천구청,89.6,450.0,22.5,0.5
신정네거리,90.7,467.0,29.5,0.9
신설동,94.5,531.0,29.3,0.5
용두,84.5,421.0,19.5,0.4
구파발,89.1,584.0,29.5,0.4
연신내,96.7,593.0,18.0,0.4
불 광,96.5,593.0,32.0,0.5
녹 번,90.5,589.0,37.0,0.5
홍 제,89.7,571.0,23.0,0.4
무악재,96.4,618.0,43.5,0.7
독립문,95.0,562.0,46.5,0.5
안 국,88.2,662.0,37.3,0.5
경복궁,85.7,605.0,57.0,0.6
종로가,97.7,678.0,34.7,0.6
을지로가,92.9,728.0,24.0,0.7
충무로,96.2,683.0,35.0,0.5
동대입구,89.5,609.0,15.0,0.5
약 수,97.1,699.0,23.3,0.6
금 호,89.2,592.0,31.0,0.9
압구정,65.5,616.0,28.0,0.8
신 사,67.7,611.0,23.0,0.7
잠 원,67.1,572.0,15.0,0.9
고속터미널,77.4,923.0,21.0,0.8
교 대,64.7,793.0,17.0,1.1
남부터미널,76.2,655.0,19.0,0.7
양 재,68.3,675.0,11.0,0.7
매 봉,67.1,611.0,18.0,0.6
도 곡,78.2,575.0,22.3,0.8
대 치,73.3,543.0,15.0,0.7
학여울,75.5,558.0,22.0,0.7
대 청,73.9,555.0,29.0,0.7
일 원,80.5,549.0,23.7,0.6
수 서,80.3,674.0,29.0,0.7
가락시장,76.2,597.0,31.3,0.6
경찰병원,82.2,575.0,12.5,0.8
오 금,77.9,569.0,39.7,0.6
쌍 문,76.8,668.0,34.0,1.0
수 유,82.2,709.0,32.0,1.3
미 아,74.6,670.0,36.0,0.6
미아사거리,90.0,548.0,30.0,0.8
길 음,72.5,597.0,36.5,0.8
성신여대입구,93.1,620.0,51.0,0.8
한성대입구,102.6,563.0,28.0,0.8
혜 화,94.0,682.0,44.0,0.7
동대문,100.1,671.0,25.7,0.8
동대문역사문화공원,95.0,722.0,47.3,0.6
충무로,93.7,646.0,46.0,0.7
명 동,101.7,732.0,29.0,0.7
