역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소
회 현,84.1,657.0,18.0,0.6
서울,96.5,746.0,25.7,0.7
숙대입구,88.0,601.0,22.0,0.7
삼각지,93.0,644.0,26.5,0.6
신용산,91.1,587.0,38.5,0.6
이 촌,90.4,583.0,23.5,0.7
총신대입구,97.8,650.0,12.5,0.6
사 당,87.4,704.0,32.3,0.6
남태령,92.6,572.0,42.0,0.6
방화,71.7,424.0,28.0,1.7
개화산,67.0,483.0,30.5,1.3
김포공항,68.7,538.0,30.0,0.5
송정,69.0,551.0,29.0,1.4
마곡,82.0,538.0,30.5,1.5
발산,96.8,440.0,35.5,1.3
우장산,83.9,518.0,17.5,0.6
화곡,72.5,418.0,28.5,0.6
까치산,54.4,621.0,35.0,0.5
신정,79.2,577.0,29.0,0.5
목동,65.0,458.0,18.0,0.7
오목교,69.5,617.0,32.3,0.6
양평,61.0,429.0,30.5,0.7
영등포구청,63.2,631.0,30.8,0.9
영등포시장,72.9,529.0,29.0,0.8
신길,72.9,609.0,20.3,0.5
여의도,64.3,615.0,41.7,0.7
여의나루,71.0,496.0,36.7,0.7
마포,75.8,548.0,22.5,0.7
공덕,67.8,598.0,24.0,0.5
애오개,80.1,608.0,30.0,0.5
충정로,64.5,486.0,24.7,0.2
서대문,76.1,406.0,30.5,0.6
광화문,81.2,633.0,44.0,0.9
종로가,81.9,616.0,47.0,0.3
을지로가,66.4,538.0,27.0,0.3
동대문역사문화공원,87.4,665.0,35.5,0.2
청구,70.8,568.0,29.0,0.5
신금호,74.9,424.0,23.0,0.6
행당,80.4,642.0,27.5,0.6
왕십리,70.4,477.0,36.3,0.5
마장,73.9,393.0,28.5,0.7
답십리,69.4,482.0,18.0,0.4
장한평,83.7,560.0,32.5,0.6
군자,72.1,594.0,32.0,0.6
아차산,74.7,395.0,27.5,0.4
광나루,93.9,403.0,30.0,0.6
천호,72.4,418.0,34.7,0.4
강동,91.0,486.0,35.0,0.8
길동,83.0,554.0,33.0,0.5
굽은다리,78.5,463.0,26.5,0.4
명일,85.7,494.0,33.5,0.7
고덕,79.2,437.0,28.0,0.7
상일동,84.8,431.0,27.0,0.4
둔촌동,78.3,483.0,35.0,0.8
올림픽공원,88.5,595.0,31.5,0.9
방이,85.9,472.0,43.5,0.6
오금,82.0,545.0,19.5,0.8
개롱,78.3,437.0,56.5,0.7
거여,73.1,548.0,35.5,0.5
마천,72.3,661.0,37.5,0.4
응암,90.4,531.0,34.0,1.0
역촌,86.9,515.0,36.5,0.7
불광,90.4,656.0,46.0,0.7
독바위,71.0,356.0,35.0,1.0
연신내,83.6,588.0,49.0,0.8
구산,80.7,436.0,47.0,0.7
새절,81.5,456.0,34.0,0.7
증산,86.7,442.0,30.5,0.7
디지털미디어시티,73.7,500.0,44.7,0.5
월드컵경기장,67.6,437.0,28.0,0.2
마포구청,79.4,475.0,43.0,0.6
망원,68.7,478.0,43.5,0.4
합정,81.7,484.0,47.7,0.2
상수,76.8,504.0,29.0,0.3
광흥창,85.5,477.0,21.0,0.1
대흥,70.6,463.0,29.0,0.6
공덕,79.5,609.0,25.0,0.4
효창공원앞,81.2,441.0,37.0,0.4
삼각지,71.6,457.0,51.3,0.4
녹사평,84.2,442.0,33.7,0.6
이태원,73.7,566.0,44.0,0.6
한강진,76.1,412.0,42.0,0.9
버티고개,71.4,390.0,18.0,0.5
약수,81.3,500.0,21.5,0.9
청구,81.3,452.0,32.0,0.6
신당,68.9,515.0,34.3,1.2
동묘앞,69.0,482.0,42.3,0.8
창신,72.0,418.0,71.0,0.6
보문,70.0,465.0,94.4,0.8
안암,76.0,520.0,52.5,0.7
고려대,77.3,424.0,51.0,0.7
월곡,65.9,443.0,52.5,0.7
상월곡,81.9,403.0,30.5,0.6
돌곶이,80.8,400.0,25.5,0.5
석계,82.4,467.0,15.3,0.9
태릉입구,84.7,421.0,26.7,0.8
화랑대,86.5,435.0,27.3,0.7
봉화산,74.3,404.0,17.5,0.9
수락산,85.3,435.0,48.7,0.7
마들,91.1,452.0,68.0,0.7
노원,84.3,495.0,29.0,0.7
중계,78.7,438.0,31.5,0.9
하계,80.3,473.0,58.5,0.7
공릉,79.3,434.0,67.0,0.4
태릉입구,83.4,469.0,29.7,0.8
먹골,78.6,427.0,41.0,0.8
중화,72.5,450.0,36.0,0.6
상봉,77.7,441.0,20.5,0.3
면목,91.2,471.0,37.5,0.4
사가정,87.0,574.0,32.0,0.7
용마산,71.4,500.0,30.0,0.8
중곡,81.7,411.0,35.0,1.0
군자,77.5,613.0,39.0,0.8
어린이대공원,73.4,494.0,16.0,0.9
건대입구,74.6,456.0,33.3,1.0
청담,73.5,487.0,17.3,0.9
강남구청,77.1,586.0,24.0,0.8
학동,77.2,455.0,32.5,0.8
논현,80.4,449.0,15.0,0.9
반포,77.9,503.0,12.7,0.9
고속터미널,80.1,694.0,11.3,1.0
내방,87.5,519.0,7.0,1.0
이수,83.2,516.0,15.0,1.1
남성,71.6,531.0,16.5,0.9
숭실대입구,77.4,483.0,14.5,0.7
상도,75.7,453.0,13.0,0.9
장승배기,73.8,418.0,19.5,0.9
신대방삼거리,79.5,403.0,17.5,0.8
보라매,72.2,410.0,14.5,0.5
신풍,71.4,398.0,20.0,1.0
대림,87.1,507.0,13.5,0.8
남구로,88.3,461.0,13.5,1.1
가산디지털단지,77.1,491.0,25.3,0.8
철산,72.9,479.0,13.5,0.6
광명사거리,92.9,503.0,20.0,1.4
천왕,78.8,413.0,16.3,0.5
온수,72.2,400.0,29.7,0.2
까치울,86.3,413.0,16.0,0.6
부천종합운동장,81.7,427.0,18.5,0.2
춘의,80.0,398.0,27.0,0.6
신중동,72.8,397.0,17.0,0.4
부천시청,75.8,430.0,11.0,0.7
상동,80.5,510.0,15.0,0.9
삼산체육관,80.4,380.0,18.5,0.9
굴포천,77.3,414.0,14.0,0.8
부평구청,77.1,423.0,17.7,0.9
암사,82.9,457.0,16.0,1.2
천호,72.8,442.0,31.5,0.8
강동구청,77.7,489.0,12.0,1.2
몽촌토성,85.5,749.0,19.0,0.9
잠실,76.9,666.0,23.3,0.9
석촌,92.0,702.0,23.5,1.0
송파,84.1,445.0,20.0,0.7
가락시장,78.7,452.0,25.0,1.0
문정,84.6,520.0,24.0,1.1
장지,82.8,588.0,22.0,1.1
복정,85.3,546.0,23.0,0.9
산성,77.5,391.0,25.0,0.7
남한산성입구,75.1,530.0,23.0,0.9
단대오거리,69.8,450.0,21.0,0.8
신흥,82.1,514.0,23.0,0.6
수진,75.8,512.0,30.5,1.0
모란,77.2,482.0,11.0,0.7
,,,,
