역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소
시청,54.6,490.0,5.1,0.6
종각,103.575,590.0,6.3,1.1
종로가,58.8,491.0,6.6,0.9
종로가,88.1,667.0,7.9,1.1
동대문,69.0,528.0,7.5,1.1
동묘앞,81.2,598.0,12.1,1.6
신설동,77.5,556.0,7.9,1.3
제기동,90.2,511.0,9.5,0.9
청량리,37.3,503.0,4.5,0.9
시청,73.1,635.0,5.2,0.2
을지로입구,59.6,472.0,5.3,0.3
을지로가,38.5,700.0,5.6,0.3
을지로가,62.5,720.0,26.4,0.9
동대문역사문화공원,64.3,853.0,5.6,1.0
신당,47.3,894.0,6.5,0.6
상왕십리,43.8,814.0,8.2,0.6
왕십리,37.1,809.0,7.7,0.3
잠실,70.4,554.0,8.8,0.9
잠실새내,34.9,825.0,6.2,0.3
종합운동장,62.3,439.0,10.9,0.8
삼성,78.5,664.0,9.3,0.7
선릉,78.6,637.0,7.7,0.9
역삼,64.5,659.0,8.8,0.9
강남,49.9,826.0,11.0,1.0
교대,37.5,555.0,6.9,0.5
서초,58.9,552.0,5.8,0.2
방배,38.2,445.0,2.0,0.5
사당,28.8,491.0,5.0,0.3
낙성대,73.5,484.0,2.7,0.4
서울대입구,44.3,496.0,2.9,0.3
봉천,51.2,457.0,5.2,0.5
신림,89.4,524.0,6.6,0.3
신도림,47.2,481.0,5.5,0.2
문래,28.2,509.0,7.3,0.6
영등포구청,41.4,504.0,5.7,0.3
합정,37.0,541.0,6.1,0.3
홍대입구,25.7,534.0,5.4,0.2
신촌,25.3,442.0,5.3,0.3
이대,31.4,443.0,4.3,0.2
아현,32.4,421.0,6.9,0.3
충정로,27.7,430.0,7.1,0.2
도림천,39.0,433.0,5.3,0.1
양천구청,37.8,405.0,5.2,0.3
신정네거리,44.6,513.0,5.5,0.5
신설동,57.7,701.0,6.8,0.7
용두,48.8,667.0,6.4,0.7
구파발,46.8,462.0,6.0,0.1
연신내,53.9,491.0,7.6,0.3
불광,63.8,527.0,7.6,0.5
녹번,44.7,509.0,7.8,0.2
홍제,51.4,558.0,6.4,0.4
무악재,64.5,498.0,6.3,0.5
독립문,53.1,488.0,4.8,0.1
경복궁,66.3,491.0,7.1,0.1
안국,42.8,448.0,7.9,0.3
종로가,76.0,490.0,5.4,1.2
을지로가,58.5,515.0,4.9,0.2
충무로,80.5,527.0,4.3,0.3
동대입구,30.3,414.0,3.4,0.1
약수,67.7,439.0,6.4,0.1
금호,27.3,445.0,3.3,0.2
압구정,27.5,574.0,4.1,0.4
신사,67.6,489.0,4.7,0.3
잠원,71.6,419.0,3.2,0.1
고속터미널,92.8,661.0,3.6,0.3
