역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소
서울,40.6,515,12.2,2.3
시청,45.1,456,9.4,2.1
종각,44.2,511,9.0,2.7
종로가,61.5,457,9.0,1.1
종로가,106.2,541,12.5,2.2
동대문,91.9,471,13.7,1.9
동묘앞,61.2,528,9.6,1.9
신설동,96.5,558,9.2,2.7
제기동,84.3,422,5.8,2.6
청량리,34.9,447,8.3,2.6
시청,83.6,514,6.2,0.4
을지로입구,41.2,535,6.5,0.6
을지로가,63.3,455,7.6,1.0
을지로가,60.1,566,2.4,0.6
동대문역사문화공원,51.2,464,3.2,0.6
신당,52.2,493,5.8,0.5
상왕십리,50.5,562,4.9,0.7
왕십리,45.9,602,7.5,0.7
잠실,62.4,510,7.4,0.7
잠실새내,132.5,439,5.3,0.6
종합운동장,51.4,591,3.9,0.3
삼성,59.2,582,5.4,0.9
선릉,82.8,483,5.5,0.7
역삼,57.5,534,7.4,0.7
강남,41.2,698,5.0,1.2
교대,33.4,527,7.4,1.2
서초,54.6,555,6.1,0.9
방배,38.5,483,2.8,0.6
사당,47.8,550,3.7,0.7
낙성대,98.4,590,3.9,0.8
서울대입구,65.0,471,4.1,0.7
봉천,55.4,497,3.6,0.9
신림,82.6,530,4.0,0.8
신도림,63.5,562,5.5,0.4
문래,50.9,522,4.2,0.7
영등포구청,76.6,597,4.0,0.8
합정,62.4,569,6.2,0.6
홍대입구,80.4,597,3.1,0.8
신촌,71.0,578,4.0,1.0
이대,87.8,523,5.8,1.2
아현,79.6,514,5.2,1.1
충정로,67.2,511,4.1,0.9
도림천,50.5,460,4.2,0.7
양천구청,52.4,459,4.6,0.8
신정네거리,52.3,472,3.6,0.7
신설동,42.5,516,6.4,3.1
용두,51.4,484,8.1,0.8
구파발,26.6,475,2.1,0.7
연신내,40.6,508,3.7,1.0
불광,28.5,529,4.8,0.9
녹번,47.0,521,7.4,1.0
홍제,36.7,559,7.8,1.3
무악재,34.4,543,6.1,1.4
독립문,47.4,483,3.2,0.8
경복궁,52.8,527,4.1,0.6
안국,47.6,521,3.7,0.4
종로가,61.2,419,11.9,1.5
을지로가,61.1,539,7.5,0.9
충무로,54.3,509,9.2,2.0
