역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소
동대입구,58.6,509,11.1,2.0
약수,36.8,572,9.7,1.8
금호,48.6,525,9.9,1.1
압구정,39.0,657,9.1,3.3
신사,56.9,558,9.2,1.5
잠원,51.8,486,7.0,0.5
고속터미널,41.4,714,10.3,3.4
교대,58.5,656,8.3,3.8
남부터미널,54.8,528,7.6,0.6
양재,42.8,509,3.9,0.9
매봉,35.9,491,7.2,1.0
도곡,45.2,522,6.4,0.4
대치,40.1,515,7.1,1.3
학여울,30.8,463,5.3,0.6
대청,50.3,475,3.9,0.9
일원,23.9,468,5.8,0.4
수서,61.3,517,3.0,1.0
가락시장,46.8,509,3.6,0.6
경찰병원,77.7,587,3.9,0.9
오금,35.0,457,2.3,0.4
쌍문,68.4,453,11.6,1.3
수유,103.8,472,10.3,3.0
미아,81.2,447,12.8,2.1
미아사거리,72.6,441,11.6,0.4
길음,86.9,436,9.3,4.2
성신여대입구,82.9,469,8.5,1.8
한성대입구,53.7,433,8.7,0.6
혜화,65.3,468,6.7,3.5
동대문,83.6,492,10.9,2.0
동대문역사문화공원,63.2,467,12.0,1.3
충무로,54.0,607,10.4,5.1
명동,64.5,460,9.1,1.3
회현,40.5,465,12.2,3.0
서울,73.2,473,5.9,3.6
숙대입구,51.2,423,6.1,1.2
삼각지,56.2,407,10.6,0.5
신용산,64.0,509,9.9,3.9
이촌,56.0,527,4.3,2.5
총신대입구,48.6,542,8.1,1.8
사당,47.7,494,5.8,0.7
남태령,53.5,506,6.5,6.1
방화,33.6,542,11.0,0.7
개화산,28.6,551,10.6,0.4
김포공항,30.5,543,8.6,0.4
송정,39.4,570,10.5,0.3
마곡,37.2,580,7.3,0.5
발산,44.0,585,6.9,0.3
우장산,34.8,556,6.7,0.5
화곡,40.2,610,6.8,0.4
까치산,50.8,620,9.4,0.7
신정,46.7,532,7.2,0.4
목동,46.6,554,6.8,0.6
오목교,33.2,560,7.0,0.4
양평,45.6,523,6.9,0.5
영등포구청,36.0,640,8.4,0.6
영등포시장,50.8,628,7.6,0.5
신길,37.0,628,9.1,0.7
여의도,57.5,852,9.4,0.9
여의나루,48.7,576,5.8,0.6
마포,39.5,637,8.2,0.6
공덕,42.2,644,6.3,0.7
애오개,48.1,614,9.0,0.7
충정로,27.8,629,6.7,0.6
서대문,67.7,669,7.3,0.6
광화문,75.0,596,8.1,0.8
종로가,63.0,707,8.3,0.7
을지로가,41.2,554,6.6,1.0
동대문역사문화공원,52.9,606,7.1,0.8
청구,41.9,566,5.7,0.8
신금호,59.6,588,6.9,0.7
행당,37.3,624,6.6,0.9
왕십리,44.8,695,8.2,0.7
마장,33.6,570,6.2,0.9
답십리,35.0,589,6.4,0.8
장한평,40.8,647,8.1,1.4
군자,43.3,643,9.5,0.9
아차산,34.7,539,11.6,1.0
광나루,30.8,511,10.7,0.7
천호,41.7,612,10.1,0.9
강동,51.0,580,7.3,0.8
길동,41.4,580,10.1,0.8
굽은다리,33.4,542,6.7,1.0
명일,40.7,544,7.7,0.9
고덕,35.5,503,7.2,1.2
상일동,44.0,532,6.5,1.0
둔촌동,43.5,576,7.9,1.5
올림픽공원,63.0,532,6.4,1.0
방이,36.8,548,7.4,1.2
오금,60.1,509,10.0,1.0
개롱,32.6,549,7.8,1.1
거여,42.2,550,7.1,1.1
마천,46.3,525,7.7,1.2
응암,44.2,600,12.1,1.0
역촌,36.9,600,11.4,1.2
불광,55.8,553,12.1,1.2
독바위,30.6,642,10.6,1.3
연신내,34.4,555,13.4,1.2
구산,40.4,614,11.5,1.0
새절,32.6,600,12.6,1.0
증산,32.6,550,12.1,1.2
디지털미디어시티,35.7,581,13.6,1.0
월드컵경기장,36.5,613,6.7,1.0
마포구청,45.6,611,8.6,1.0
망원,40.1,601,6.1,1.2
합정,42.5,614,11.8,1.2
상수,31.0,638,13.1,1.3
광흥창,38.5,599,12.7,1.2
대흥,45.6,606,11.1,1.1
공덕,40.2,613,13.0,1.1
효창공원앞,68.4,611,12.5,1.3
삼각지,54.9,581,14.9,1.1
녹사평,42.6,622,12.6,1.1
이태원,42.4,595,18.3,1.2
한강진,42.2,602,12.1,1.3
버티고개,53.2,615,11.2,1.1
약수,51.1,649,14.5,1.3
청구,47.7,603,10.5,0.9
신당,40.5,617,15.5,1.1
동묘앞,37.2,636,10.3,1.1
창신,52.1,602,7.7,1.2
보문,37.7,624,8.2,1.2
안암,44.0,572,10.9,1.2
고려대,45.7,607,8.9,1.4
월곡,51.2,633,8.4,1.3
상월곡,36.6,613,9.3,1.3
돌곶이,41.6,636,20.3,1.3
석계,46.1,605,10.3,1.1
태릉입구,29.8,615,30.3,1.3
화랑대,29.8,623,20.8,1.2
봉화산,33.8,605,15.0,1.2
수락산,85.8,644,6.7,0.5
마들,91.9,654,7.8,0.5
노원,48.9,634,8.0,0.5
중계,53.9,665,6.0,0.5
하계,58.4,567,6.8,0.5
공릉,45.6,558,7.1,0.6
태릉입구,48.7,582,7.3,0.6
먹골,39.1,598,8.0,0.7
중화,37.9,571,8.2,0.6
상봉,31.6,604,7.8,0.5
면목,39.1,585,10.2,0.6
사가정,35.7,611,10.0,0.5
용마산,40.4,551,8.4,0.5
중곡,39.5,583,10.2,0.5
군자,36.4,589,7.5,0.5
어린이대공원,36.6,588,9.2,0.5
건대입구,69.1,574,8.0,0.4
청담,49.8,587,9.5,0.5
강남구청,48.0,572,8.7,0.6
학동,58.5,587,9.9,0.5
논현,48.9,622,8.6,0.6
반포,30.1,615,7.6,0.6
고속터미널,54.4,589,8.0,0.7
내방,57.5,539,9.5,0.6
이수,49.5,580,9.4,0.6
남성,40.9,588,11.6,0.6
숭실대입구,74.0,557,10.0,0.6
상도,31.4,589,8.5,0.6
장승배기,36.7,601,8.7,0.6
신대방삼거리,43.1,556,7.5,0.8
보라매,47.7,595,9.1,0.6
신풍,53.3,551,11.4,0.7
대림,55.5,545,9.1,0.6
남구로,56.9,546,10.9,0.6
가산디지털단지,52.3,610,8.5,0.9
철산,74.1,522,16.2,0.9
광명사거리,47.2,583,8.8,0.6
천왕,42.8,579,12.0,0.5
온수,53.8,582,7.5,0.5
까치울,44.8,528,15.6,0.6
부천종합운동장,45.5,591,8.4,0.7
춘의,43.2,580,11.7,0.5
신중동,34.8,570,8.8,0.6
부천시청,35.6,597,9.3,0.6
상동,36.5,558,9.3,0.9
삼산체육관,41.7,641,21.8,1.0
굴포천,69.3,557,9.6,0.6
부평구청,54.3,591,7.0,0.7
암사,44.5,606,11.0,0.6
천호,39.7,601,9.6,0.9
강동구청,38.9,653,14.3,0.7
몽촌토성,45.3,588,10.1,0.6
잠실,32.3,608,10.7,0.7
석촌,47.9,581,9.4,0.9
송파,41.9,598,10.6,1.0
가락시장,54.2,602,9.6,0.9
문정,42.5,599,10.1,0.8
장지,43.9,640,7.2,1.0
복정,61.8,601,9.6,0.8
산성,34.8,557,9.6,0.9
남한산성입구,45.8,632,11.6,0.9
단대오거리,41.2,614,11.0,1.1
신흥,45.2,598,21.6,1.1
수진,40.2,606,12.3,1.0
모란,51.1,614,8.2,1.2
