역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수
천호,59.1,433,6.6,0.4,55150.0
강동,29.0,484,8.0,0.5,20656.0
길동,38.5,495,6.9,0.6,11937.0
굽은다리,30.9,501,7.9,0.5,14211.0
명일,45.1,503,6.2,0.4,10969.0
고덕,39.1,484,6.8,0.5,11714.0
상일동,50.1,533,6.1,0.5,16508.0
강일,40.5,453,6.2,0.4,6162.0
미사,51.6,469,7.3,0.5,23767.0
하남풍산,41.6,456,9.2,0.5,6012.0
하남시청,35.3,481,5.4,0.6,10767.0
하남검단산,26.5,463,6.4,0.4,10523.0
둔촌동,34.0,523,7.9,0.7,11359.0
올림픽공원,34.1,496,8.8,0.6,32680.0
방이,31.7,482,6.6,0.5,9734.0
오금,28.9,463,6.8,0.5,9893.0
개롱,29.9,474,5.7,0.3,7770.0
거여,30.6,486,7.5,0.3,11289.0
마천,35.7,489,2.9,0.5,8834.0
응암,50.4,514,10.9,0.4,23915.0
역촌,56.0,494,14.9,0.6,5456.0
불광,38.8,558,16.5,1.0,31940.0
독바위,25.5,447,8.7,0.5,3725.0
연신내,38.3,534,9.0,0.4,52576.0
구산,31.6,479,8.3,0.5,9154.0
새절,31.3,481,6.5,0.3,15470.0
증산,32.6,478,6.1,0.3,13549.0
디지털미디어시티,34.8,500,3.8,0.4,26386.0
월드컵경기장,27.7,454,6.3,0.3,8436.0
마포구청,42.7,533,3.4,0.5,16033.0
망원,39.9,531,7.1,0.7,24205.0
합정,42.1,579,6.7,0.4,75414.0
상수,42.0,499,5.7,0.3,19355.0
광흥창,33.5,464,7.0,0.3,9152.0
대흥,34.0,491,7.8,0.6,10621.0
공덕,28.5,503,5.9,0.6,38821.0
효창공원앞,37.2,515,11.4,0.4,10751.0
삼각지,45.2,583,7.8,0.7,17137.0
녹사평,32.6,477,9.6,0.5,8737.0
이태원,31.3,541,7.5,0.3,23621.0
한강진,39.0,493,9.3,0.3,18635.0
버티고개,45.4,505,7.3,0.6,2653.0
약수,37.1,581,5.9,0.7,21076.0
청구,39.8,488,10.9,0.3,8915.0
신당,27.4,557,10.7,0.8,32109.0
동묘앞,40.6,592,12.7,0.5,35584.0
창신,34.1,485,8.6,0.4,3666.0
보문,44.3,510,10.5,0.3,11224.0
안암,40.3,553,9.8,0.9,10392.0
고려대,30.0,492,19.6,0.7,9542.0
월곡,39.6,485,5.8,0.3,13074.0
상월곡,25.9,463,4.6,0.5,7002.0
돌곶이,29.7,486,4.0,0.4,11741.0
석계,30.4,545,4.8,0.5,28451.0
태릉입구,28.6,479,6.2,0.3,19317.0
화랑대,28.7,496,7.4,0.5,10883.0
봉화산,33.6,470,7.0,0.4,9434.0
수락산,37.0,502,10.0,0.4,17847.0
마들,27.8,555,10.1,0.6,16277.0
노원,41.4,527,9.0,0.6,65274.0
중계,32.4,509,8.4,0.5,16012.0
하계,35.2,561,9.5,0.5,21652.0
공릉,37.9,543,8.7,0.7,15406.0
태릉입구,33.1,487,10.4,0.5,19317.0
먹골,31.5,463,8.5,0.4,14107.0
중화,30.6,536,10.0,0.6,13529.0
상봉,34.6,576,11.1,0.6,33358.0
면목,27.0,765,6.8,0.4,19932.0
사가정,37.7,666,7.3,0.4,22238.0
용마산,36.5,479,8.0,0.4,7470.0
중곡,30.7,500,6.7,0.4,12711.0
군자,40.3,514,6.3,0.4,34436.0
어린이대공원,26.4,693,8.9,0.4,17178.0
건대입구,29.7,544,12.6,0.6,90221.0
청담,24.6,583,10.6,0.6,17726.0
강남구청,26.5,622,10.3,0.4,23427.0
학동,34.3,724,12.3,0.4,16048.0
논현,30.3,561,11.7,0.5,16624.0
반포,27.7,734,11.6,0.5,8154.0
고속터미널,42.5,692,18.8,0.5,146449.0
내방,40.1,491,11.6,0.4,13826.0
남성,48.6,690,14.2,0.4,13611.0
숭실대입구,42.1,713,12.3,0.5,13928.0
상도,50.9,550,15.5,0.6,13275.0
장승배기,45.9,540,17.9,0.8,11537.0
신대방삼거리,28.8,540,14.7,0.6,18799.0
보라매,40.9,528,15.5,0.5,12467.0
신풍,31.2,716,10.0,0.4,14119.0
대림,27.5,859,11.4,0.5,53793.0
남구로,27.5,636,16.2,0.7,16503.0
가산디지털단지,29.3,672,16.9,0.5,37006.0
철산,29.2,546,14.1,0.4,27184.0
광명사거리,36.2,535,14.1,0.4,32547.0
천왕,47.8,525,7.2,0.5,12323.0
온수,30.9,516,15.6,0.3,18490.0
암사,39.1,731,16.4,0.4,22132.0
천호,27.3,574,18.8,0.5,55150.0
강동구청,28.2,587,17.8,0.5,11473.0
몽촌토성,55.2,493,12.4,0.5,7868.0
잠실,33.5,885,11.1,0.3,171903.0
석촌,47.8,542,16.0,0.4,24512.0
송파,33.6,738,13.1,0.3,11170.0
가락시장,27.1,712,12.3,0.5,22177.0
문정,38.6,559,14.2,0.5,12079.0
장지,29.8,502,22.7,0.4,22264.0
복정,24.4,541,16.3,0.5,9922.0
산성,28.5,674,6.1,0.4,6967.0
남한산성입구,24.7,693,3.5,0.6,15721.0
단대오거리,26.2,469,9.2,0.4,14767.0
신흥,38.2,511,20.2,0.8,7900.0
수진,27.8,403,11.5,0.6,7442.0
모란,24.2,398,11.1,0.5,36047.0
종합운동장,43.2,458,5.7,2.1,26047.0
석촌,51.7,467,5.4,0.6,24512.0
올림픽공원,49.1,465,6.1,0.5,32680.0
