역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수
서울,39.9,566,11.5,0.7,129006.0
시청,83.5,545,12.0,0.7,60692.0
종각,110.0,500,12.2,0.7,45389.0
동대문,96.6,585,7.9,1.0,47352.0
동묘앞,34.3,457,4.7,0.5,35584.0
신설동,64.8,517,6.9,0.6,26371.0
제기동,71.0,442,4.2,0.5,32189.0
청량리,56.8,452,6.0,0.8,68855.0
시청,63.2,522,7.2,0.5,60692.0
을지로입구,54.4,474,6.9,0.5,68156.0
동대문역사문화공원,39.0,527,9.5,0.7,62298.0
신당,45.6,483,10.0,1.0,32109.0
상왕십리,59.3,466,8.3,0.6,16977.0
왕십리,35.1,490,8.8,0.6,55575.0
잠실,35.3,546,7.0,0.6,171903.0
잠실새내,34.1,439,5.4,0.5,33795.0
종합운동장,24.4,451,6.6,0.7,26047.0
삼성,25.7,495,6.5,0.7,62714.0
선릉,46.8,513,8.0,0.9,46262.0
역삼,25.4,524,8.9,1.0,31342.0
강남,32.9,610,12.2,0.8,94064.0
교대,36.1,505,9.3,1.1,38886.0
서초,50.1,467,9.2,1.0,18059.0
방배,47.0,510,10.7,0.9,16730.0
사당,45.6,507,8.4,0.9,91125.0
낙성대,65.3,463,9.5,1.0,35596.0
서울대입구,46.4,447,7.1,0.7,63460.0
봉천,51.9,431,7.5,0.8,30538.0
신림,67.6,529,10.1,0.7,88751.0
신도림,50.5,481,7.5,0.6,72891.0
문래,56.3,459,9.3,0.7,20594.0
영등포구청,46.4,435,8.4,0.7,23167.0
합정,35.4,528,9.8,0.8,75414.0
홍대입구,43.3,509,7.1,0.8,181157.0
신촌,33.0,441,8.1,0.9,61267.0
이대,61.6,444,6.6,0.8,19965.0
아현,45.3,457,8.7,0.6,14022.0
충정로,60.6,439,8.8,0.7,12658.0
용두,35.9,438,7.3,0.7,3370.0
신설동,24.4,455,6.6,0.8,26371.0
도림천,67.2,450,5.5,0.8,1421.0
양천구청,46.9,438,9.1,0.8,8003.0
신정네거리,46.4,450,12.1,0.8,13294.0
구파발,32.7,470,6.6,0.7,28337.0
연신내,44.1,459,8.4,0.8,52576.0
불광,51.2,532,4.8,0.6,31940.0
녹번,36.1,454,4.6,0.6,17740.0
홍제,28.8,473,11.1,0.7,24044.0
무악재,53.6,468,5.1,1.1,5369.0
독립문,43.1,483,5.9,0.7,10674.0
경복궁,43.2,466,9.0,0.5,34139.0
안국,58.4,481,8.8,0.6,37561.0
충무로,62.9,479,6.8,0.6,24440.0
동대입구,68.9,474,7.9,1.0,15786.0
약수,41.6,465,11.7,0.9,21076.0
금호,48.0,477,10.6,0.9,10285.0
압구정,43.0,541,13.7,0.9,47873.0
신사,51.5,505,16.6,1.0,41337.0
잠원,24.2,460,4.9,0.7,6054.0
고속터미널,31.3,533,7.8,0.6,146449.0
교대,34.2,504,8.5,0.8,38886.0
남부터미널,32.4,472,10.4,0.8,36285.0
양재,37.3,460,9.1,0.8,32568.0
매봉,30.1,472,12.3,0.9,10268.0
도곡,36.5,460,8.7,0.5,12496.0
대치,31.1,468,9.2,0.7,18038.0
학여울,20.3,466,9.1,1.1,1764.0
대청,59.1,481,9.7,0.8,10682.0
일원,48.6,488,6.1,0.5,8842.0
수서,46.2,506,5.5,0.5,39400.0
가락시장,21.7,478,5.4,0.6,22177.0
경찰병원,24.5,496,5.3,0.5,7337.0
오금,25.5,484,5.4,0.5,9893.0
쌍문,50.4,505,10.0,0.7,38775.0
수유,98.7,493,10.0,0.6,52003.0
미아,49.4,480,12.2,0.5,20759.0
미아사거리,43.8,485,11.4,0.7,41502.0
길음,35.6,436,9.0,0.6,25820.0
성신여대입구,58.4,516,12.2,0.7,37893.0
한성대입구,47.1,513,10.4,0.9,17814.0
혜화,36.7,467,11.9,0.7,60054.0
동대문,56.7,485,14.4,0.8,47352.0
동대문역사문화공원,39.5,502,10.9,0.7,62298.0
충무로,53.0,491,7.9,0.5,24440.0
명동,46.4,505,12.0,0.8,60963.0
회현,40.5,466,10.0,0.7,39353.0
서울,25.1,491,6.6,0.7,129006.0
숙대입구,28.8,471,7.6,0.8,16940.0
삼각지,23.3,470,5.0,0.8,17137.0
신용산,37.4,480,5.3,0.9,23124.0
이촌,74.2,473,8.3,1.0,21346.0
총신대입구,39.8,482,8.2,0.8,26706.0
사당,38.3,487,5.1,0.8,91125.0
남태령,40.8,463,4.1,0.6,1517.0
방화,67.4,373,7.1,0.6,8337.0
개화산,57.2,368,8.1,0.3,7004.0
김포공항,48.4,400,9.0,0.4,43504.0
송정,39.6,490,7.7,0.5,9403.0
마곡,27.2,476,4.0,0.4,10031.0
발산,23.3,476,8.2,0.5,25707.0
우장산,23.6,478,8.5,0.4,17918.0
화곡,23.0,531,7.3,0.5,36756.0
까치산,41.3,559,2.7,0.5,39140.0
신정,59.5,497,3.2,0.4,15431.0
목동,30.9,485,4.4,0.3,20204.0
오목교,28.2,510,4.5,0.4,29906.0
양평,29.8,482,4.8,0.3,11277.0
영등포구청,26.4,533,4.1,0.5,23167.0
영등포시장,32.6,501,4.9,0.4,14208.0
신길,26.1,756,7.1,0.5,15493.0
여의도,49.3,826,8.6,0.5,44762.0
여의나루,42.2,658,6.6,0.3,17645.0
마포,46.0,419,7.8,0.6,14434.0
공덕,25.0,444,6.2,0.4,38821.0
애오개,35.9,456,4.7,0.7,6865.0
충정로,29.5,438,5.4,0.4,12658.0
서대문,29.6,406,5.3,0.5,13920.0
광화문,30.4,514,5.8,0.5,54973.0
동대문역사문화공원,32.7,350,8.5,0.5,62298.0
청구,36.9,342,7.4,1.0,8915.0
신금호,29.4,381,4.6,0.6,8015.0
행당,21.4,341,3.2,0.4,9306.0
왕십리,27.6,507,7.9,0.5,55575.0
마장,32.1,407,7.8,0.5,7820.0
답십리,26.9,395,8.3,0.4,18879.0
장한평,47.4,431,6.6,0.3,22107.0
군자,31.4,481,7.8,0.3,34436.0
아차산,42.0,429,8.7,0.6,22034.0
광나루,30.6,411,8.8,0.4,18517.0
