역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수
시청,54.6,490.0,5.1,0.6,75763.0
종각,103.575,590.0,6.3,1.1,56116.0
동대문,69.0,528.0,7.5,1.1,51604.0
동묘앞,81.2,598.0,12.1,1.6,28516.0
신설동,77.5,556.0,7.9,1.3,33985.0
제기동,90.2,511.0,9.5,0.9,30670.0
청량리,37.3,503.0,4.5,0.9,69635.0
시청,73.1,635.0,5.2,0.2,75763.0
을지로입구,59.6,472.0,5.3,0.3,74109.0
동대문역사문화공원,64.3,853.0,5.6,1.0,56775.0
신당,47.3,894.0,6.5,0.6,40264.0
상왕십리,43.8,814.0,8.2,0.6,24649.0
왕십리,37.1,809.0,7.7,0.3,65207.0
잠실,70.4,554.0,8.8,0.9,169205.0
잠실새내,34.9,825.0,6.2,0.3,39254.0
종합운동장,62.3,439.0,10.9,0.8,21322.0
삼성,78.5,664.0,9.3,0.7,86764.0
선릉,78.6,637.0,7.7,0.9,106914.0
역삼,64.5,659.0,8.8,0.9,80766.0
강남,49.9,826.0,11.0,1.0,142726.0
교대,37.5,555.0,6.9,0.5,75165.0
서초,58.9,552.0,5.8,0.2,35264.0
방배,38.2,445.0,2.0,0.5,26274.0
사당,28.8,491.0,5.0,0.3,104301.0
낙성대,73.5,484.0,2.7,0.4,47190.0
서울대입구,44.3,496.0,2.9,0.3,84552.0
봉천,51.2,457.0,5.2,0.5,40677.0
신림,89.4,524.0,6.6,0.3,115720.0
신도림,47.2,481.0,5.5,0.2,91383.0
문래,28.2,509.0,7.3,0.6,37155.0
영등포구청,41.4,504.0,5.7,0.3,47121.0
합정,37.0,541.0,6.1,0.3,83109.0
홍대입구,25.7,534.0,5.4,0.2,136155.0
신촌,25.3,442.0,5.3,0.3,64367.0
이대,31.4,443.0,4.3,0.2,23082.0
아현,32.4,421.0,6.9,0.3,18052.0
충정로,27.7,430.0,7.1,0.2,24690.0
도림천,39.0,433.0,5.3,0.1,2420.0
양천구청,37.8,405.0,5.2,0.3,11723.0
신정네거리,44.6,513.0,5.5,0.5,18748.0
신설동,57.7,701.0,6.8,0.7,33985.0
용두,48.8,667.0,6.4,0.7,4588.0
구파발,46.8,462.0,6.0,0.1,35682.0
연신내,53.9,491.0,7.6,0.3,66151.0
불광,63.8,527.0,7.6,0.5,38486.0
녹번,44.7,509.0,7.8,0.2,26092.0
홍제,51.4,558.0,6.4,0.4,30202.0
무악재,64.5,498.0,6.3,0.5,6665.0
독립문,53.1,488.0,4.8,0.1,11965.0
경복궁,66.3,491.0,7.1,0.1,31960.0
안국,42.8,448.0,7.9,0.3,29316.0
충무로,80.5,527.0,4.3,0.3,45363.0
동대입구,30.3,414.0,3.4,0.1,13002.0
약수,67.7,439.0,6.4,0.1,29434.0
금호,27.3,445.0,3.3,0.2,13846.0
압구정,27.5,574.0,4.1,0.4,62070.0
신사,67.6,489.0,4.7,0.3,57385.0
잠원,71.6,419.0,3.2,0.1,8231.0
고속터미널,92.8,661.0,3.6,0.3,154462.0
교대,69.0,532.0,3.9,0.5,75165.0
남부터미널,43.6,444.0,4.2,0.1,53342.0
양재,40.2,521.0,3.3,0.1,64714.0
매봉,41.6,431.0,6.4,0.2,19815.0
도곡,38.4,398.0,4.4,0.3,19852.0
대치,36.5,437.0,6.1,0.4,19316.0
학여울,27.1,416.0,5.4,0.1,2705.0
대청,61.3,443.0,5.6,0.1,16769.0
일원,66.6,441.0,6.2,0.2,16979.0
수서,54.3,496.0,4.6,0.1,57601.0
가락시장,55.2,542.0,8.4,0.1,29807.0
경찰병원,51.8,413.0,1.9,0.2,12119.0
오금,48.2,439.0,6.6,0.3,15928.0
쌍문,144.175,445.0,4.9,0.1,52192.0
수유,89.5,504.0,4.9,0.3,64073.0
미아,90.75,492.0,3.5,0.2,26761.0
미아사거리,83.475,510.0,4.7,0.2,52555.0
길음,67.6,486.0,5.7,0.4,35136.0
