역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수
서울,76.4,627,16.4,0.6,210272.0
시청,100.7,610,17.8,1.0,119451.0
종각,99.8,687,20.5,0.9,122250.0
동대문,99.5,561,17.2,1.1,80337.0
동묘앞,87.4,567,15.9,1.1,36502.0
신설동,98.5,511,11.2,1.1,45017.0
제기동,97.8,497,13.7,0.8,39113.0
청량리,91.5,550,14.4,0.7,87423.0
시청,109.3,558,10.0,1.0,119451.0
을지로입구,81.2,559,9.9,1.0,125321.0
동대문역사문화공원,89.9,572,7.9,1.3,105102.0
신당,95.8,563,7.5,1.1,49469.0
상왕십리,82.0,477,10.6,0.8,30075.0
왕십리,85.9,562,16.0,0.6,85687.0
잠실,88.5,667,15.8,0.8,256037.0
종합운동장,97.0,453,13.2,0.5,27613.0
삼성,92.2,520,17.2,0.5,160059.0
선릉,92.9,580,16.5,1.0,138877.0
역삼,81.6,584,18.0,1.1,103940.0
강남,78.2,736,24.3,1.0,210773.0
교대,83.4,639,17.8,0.6,96780.0
서초,92.8,479,14.9,0.5,50424.0
방배,93.3,513,15.3,0.6,36401.0
사당,87.8,605,9.3,1.3,138949.0
낙성대,89.9,492,7.6,1.1,60122.0
서울대입구,86.5,481,7.2,1.0,106528.0
봉천,81.4,447,6.8,1.0,50860.0
신림,93.0,571,5.5,0.9,145970.0
신도림,73.2,498,9.1,0.9,128232.0
문래,86.8,460,12.5,1.0,43850.0
영등포구청,96.5,520,11.6,0.7,55340.0
합정,91.4,620,14.7,1.0,105683.0
홍대입구,84.3,740,30.5,1.3,226879.0
신촌,90.9,568,9.2,0.9,106472.0
이대,88.0,595,17.2,1.1,37903.0
아현,91.6,555,12.2,0.9,21501.0
충정로,93.2,639,13.4,1.1,31677.0
도림천,74.6,438,6.8,0.5,2458.0
양천구청,72.5,424,8.8,0.8,14629.0
신정네거리,101.9,463,12.0,1.1,20085.0
신설동,70.1,476,15.8,0.6,45017.0
용두,68.9,446,11.8,0.6,5175.0
구파발,87.2,452,10.1,0.8,45661.0
연신내,105.1,491,8.6,0.9,87787.0
불광,95.2,507,11.4,0.9,48928.0
녹번,84.4,518,15.7,0.8,27715.0
홍제,95.9,603,12.7,1.1,37782.0
무악재,101.3,483,13.9,0.8,8637.0
독립문,99.0,536,13.8,0.9,16656.0
경복궁,88.4,544,16.8,1.0,45114.0
안국,78.4,522,24.3,1.0,50775.0
충무로,101.3,554,7.1,0.8,66939.0
동대입구,91.9,475,12.8,0.8,26618.0
약수,101.5,583,8.9,0.9,37110.0
금호,86.0,472,12.2,0.7,17525.0
압구정,88.5,504,6.9,0.7,76527.0
신사,96.2,535,7.4,0.7,73976.0
잠원,74.6,435,6.1,0.8,12457.0
고속터미널,79.1,684,14.6,0.9,209031.0
교대,90.9,621,6.8,0.9,96780.0
남부터미널,85.0,487,8.9,0.9,68913.0
양재,88.1,560,8.6,0.7,80869.0
매봉,72.3,535,6.7,0.6,22796.0
도곡,94.6,556,6.1,0.7,26727.0
대치,82.0,526,9.2,0.4,25905.0
학여울,73.5,447,6.6,0.5,3582.0
대청,91.2,477,7.2,0.5,20291.0
일원,81.4,478,5.7,0.5,21662.0
수서,82.9,504,9.0,0.6,65989.0
가락시장,96.3,476,10.1,0.5,38272.0
경찰병원,70.7,417,11.9,0.5,15927.0
오금,72.4,439,6.1,0.5,19983.0
쌍문,94.0,501,5.7,0.8,65320.0
수유,88.1,508,6.1,0.8,81595.0
미아,86.7,492,7.2,0.6,33786.0
미아사거리,88.1,441,6.0,0.5,66667.0
길음,82.4,454,4.3,0.6,44460.0
성신여대입구,92.6,534,11.8,0.7,58932.0
한성대입구,88.7,557,16.7,0.9,30694.0
혜화,92.3,550,4.4,0.6,92704.0
동대문,90.4,716,12.9,0.9,80337.0
동대문역사문화공원,86.3,591,10.4,0.7,105102.0
충무로,94.2,673,10.5,0.9,66939.0
명동,94.0,718,16.8,1.1,91262.0
회현,84.8,668,16.2,1.0,65117.0
서울,87.7,722,17.6,1.0,210272.0
숙대입구,93.0,480,15.1,0.8,31863.0
삼각지,94.1,503,10.9,0.9,23805.0
신용산,92.6,505,15.7,1.0,36650.0
이촌,89.3,576,16.6,1.0,29183.0
총신대입구,94.0,563,15.4,1.0,45661.0
사당,98.9,586,13.4,0.9,138949.0
남태령,96.8,418,7.2,0.7,2528.0
개화산,65.6,433,9.3,0.9,11553.0
김포공항,74.8,556,18.4,0.9,59261.0
송정,69.1,507,10.8,1.0,14633.0
마곡,64.8,443,9.8,0.8,13775.0
발산,76.0,464,9.9,0.9,38694.0
우장산,79.4,483,13.1,1.2,32075.0
화곡,78.2,523,14.6,1.1,60996.0
까치산,63.3,527,9.4,1.1,63119.0
신정,59.0,493,9.7,0.9,26209.0
목동,71.3,497,12.1,1.1,38809.0
오목교,56.3,605,35.2,1.1,54787.0
양평,80.2,522,10.2,1.1,20982.0
영등포구청,82.7,568,16.6,1.1,55340.0
영등포시장,77.9,492,9.9,0.9,21357.0
신길,70.4,558,13.6,1.0,25711.0
여의도,81.3,550,9.2,0.9,97596.0
