역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수
여의나루,71.0,526,5.4,1.0,14317.0
마포,67.6,554,9.8,1.1,29852.0
공덕,83.1,557,9.7,1.1,81359.0
애오개,81.0,594,14.7,1.2,15419.0
충정로,75.9,622,9.5,1.2,31677.0
서대문,81.0,529,14.2,1.2,40241.0
광화문,80.4,516,15.6,1.1,87899.0
동대문역사문화공원,94.5,536,17.8,1.3,105102.0
청구,78.8,504,10.0,1.3,16398.0
신금호,68.5,491,13.4,1.2,13813.0
행당,81.7,545,11.3,1.2,16765.0
왕십리,88.0,561,15.2,1.2,85687.0
마장,75.3,620,10.5,1.5,12945.0
답십리,74.5,644,13.7,1.3,34001.0
장한평,84.3,622,9.5,1.1,38484.0
군자,88.5,679,13.4,1.2,54131.0
아차산,62.0,545,8.6,0.9,31618.0
광나루,73.9,554,11.9,0.9,27460.0
천호,69.8,546,11.8,1.1,87193.0
강동,76.7,611,12.3,1.0,40744.0
길동,85.5,573,7.8,0.9,16986.0
굽은다리,66.9,624,9.3,0.9,20564.0
명일,71.6,619,7.1,1.0,18295.0
고덕,80.3,631,6.3,1.0,20320.0
상일동,90.3,625,9.4,0.9,28693.0
둔촌동,83.7,638,11.5,1.0,18918.0
올림픽공원,84.6,654,7.9,1.1,48704.0
방이,91.3,633,8.4,1.1,15723.0
오금,68.8,619,10.2,1.1,19983.0
개롱,68.2,616,8.9,0.9,14025.0
거여,77.0,669,12.9,1.2,16002.0
마천,76.1,598,14.7,1.0,10469.0
응암,73.2,451,7.4,0.9,37395.0
역촌,84.0,443,9.6,0.8,8977.0
불광,90.7,479,9.6,0.9,48928.0
독바위,96.5,453,12.4,0.8,6027.0
연신내,79.3,502,12.6,0.9,87787.0
구산,76.6,486,12.8,1.0,14706.0
새절,87.4,568,9.5,0.8,27358.0
증산,82.8,501,33.3,0.9,21644.0
디지털미디어시티,72.6,441,17.1,0.8,57709.0
월드컵경기장,95.0,431,8.8,0.9,12415.0
마포구청,92.7,465,9.9,1.0,28227.0
망원,96.4,497,12.5,1.2,31939.0
합정,85.7,501,10.0,1.2,105683.0
상수,101.6,519,12.7,1.4,25279.0
광흥창,89.5,489,10.0,1.2,20201.0
대흥,101.3,532,10.6,1.3,18033.0
공덕,116.2,498,12.9,0.9,81359.0
효창공원앞,106.9,473,9.7,1.1,20381.0
삼각지,103.6,492,10.0,0.8,23805.0
녹사평,92.0,469,10.6,1.0,12839.0
이태원,112.6,507,11.8,1.1,46519.0
한강진,93.8,431,11.5,0.9,19866.0
버티고개,116.2,499,10.9,1.1,4744.0
약수,114.9,542,9.1,1.1,37110.0
청구,74.3,490,10.8,1.6,16398.0
신당,67.9,496,26.6,1.3,49469.0
동묘앞,61.3,508,11.3,1.5,36502.0
창신,93.9,490,11.6,1.1,6616.0
보문,74.7,539,12.6,1.3,18194.0
안암,67.9,555,11.2,1.4,26693.0
고려대,64.1,472,16.2,0.8,18823.0
월곡,76.3,486,11.3,1.0,25431.0
상월곡,86.7,517,20.0,1.1,12544.0
돌곶이,70.1,506,10.4,1.0,17618.0
석계,86.7,478,22.4,0.9,48204.0
태릉입구,83.6,492,10.1,1.0,29146.0
화랑대,67.7,474,11.3,0.8,22197.0
봉화산,73.9,477,8.3,0.8,19720.0
수락산,93.0,610,14.2,1.0,26775.0
마들,80.2,629,14.3,1.0,24845.0
노원,76.5,673,10.5,1.1,102792.0
중계,76.6,679,10.0,1.1,30207.0
하계,81.0,686,9.0,1.1,40104.0
공릉,69.4,635,9.3,1.1,25408.0
태릉입구,76.3,643,14.5,1.3,29146.0
먹골,66.4,706,15.7,1.2,21927.0
중화,93.1,667,11.3,1.2,24145.0
상봉,78.8,710,15.9,1.2,49554.0
면목,60.4,672,10.7,1.3,32607.0
사가정,72.9,728,12.0,1.0,33186.0
용마산,80.4,642,12.1,1.0,12175.0
중곡,63.2,598,12.5,1.0,20225.0
군자,70.0,715,11.9,1.0,54131.0
어린이대공원,69.3,669,10.4,0.9,30630.0
건대입구,64.6,754,15.1,1.0,138117.0
청담,60.4,649,16.2,1.0,43250.0
강남구청,72.1,633,14.8,1.0,52333.0
학동,87.8,708,25.7,1.3,44974.0
논현,86.8,655,24.3,1.3,40047.0
반포,62.4,621,13.4,1.1,13135.0
고속터미널,67.6,728,18.5,1.2,209031.0
내방,61.1,603,13.7,1.1,28562.0
남성,68.2,616,12.1,1.0,23319.0
숭실대입구,63.5,591,16.3,1.0,25830.0
상도,71.7,561,11.5,1.0,22414.0
장승배기,61.3,591,11.6,1.1,22365.0
신대방삼거리,85.9,542,14.6,1.2,34243.0
보라매,86.3,519,36.9,1.0,18664.0
신풍,89.4,578,15.7,1.3,23043.0
대림,90.8,616,17.8,1.2,82546.0
남구로,66.8,570,22.8,1.3,34548.0
가산디지털단지,79.1,560,19.7,1.0,117179.0
철산,70.5,559,15.6,1.1,49703.0
광명사거리,72.2,570,17.2,1.3,53771.0
천왕,110.5,570,20.1,1.1,19722.0
온수,75.2,464,14.5,0.9,34705.0
암사,76.2,654,10.8,1.0,37291.0
천호,71.8,549,10.9,0.8,87193.0
강동구청,71.5,602,8.4,1.0,23269.0
몽촌토성,66.5,625,11.4,1.1,11716.0
잠실,73.0,673,14.5,1.0,256037.0
석촌,85.1,636,10.4,1.0,33255.0
송파,72.1,644,11.6,1.1,20162.0
가락시장,83.8,649,8.6,1.0,38272.0
문정,78.6,676,6.4,1.2,38753.0
장지,66.7,586,23.6,0.9,39355.0
복정,80.0,628,7.3,1.0,20939.0
산성,60.0,568,6.9,0.9,10938.0
남한산성입구,71.2,664,9.6,1.1,26961.0
단대오거리,68.9,638,11.3,1.0,22229.0
신흥,76.9,673,27.2,1.2,11146.0
수진,61.0,630,12.5,1.2,12121.0
모란,76.1,643,8.1,1.1,54347.0
