역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소
서울,39.9,566,11.5,0.7
시청,83.5,545,12.0,0.7
종각,110.0,500,12.2,0.7
종로가,96.0,507,10.3,0.8
종로가,73.2,525,8.1,0.7
동대문,96.6,585,7.9,1.0
동묘앞,34.3,457,4.7,0.5
신설동,64.8,517,6.9,0.6
제기동,71.0,442,4.2,0.5
청량리,56.8,452,6.0,0.8
시청,63.2,522,7.2,0.5
을지로입구,54.4,474,6.9,0.5
을지로가,53.9,602,10.6,0.8
을지로가,54.9,461,9.4,0.9
동대문역사문화공원,39.0,527,9.5,0.7
신당,45.6,483,10.0,1.0
상왕십리,59.3,466,8.3,0.6
왕십리,35.1,490,8.8,0.6
잠실,35.3,546,7.0,0.6
잠실새내,34.1,439,5.4,0.5
종합운동장,24.4,451,6.6,0.7
삼성,25.7,495,6.5,0.7
선릉,46.8,513,8.0,0.9
역삼,25.4,524,8.9,1.0
강남,32.9,610,12.2,0.8
교대,36.1,505,9.3,1.1
서초,50.1,467,9.2,1.0
방배,47.0,510,10.7,0.9
사당,45.6,507,8.4,0.9
낙성대,65.3,463,9.5,1.0
서울대입구,46.4,447,7.1,0.7
봉천,51.9,431,7.5,0.8
신림,67.6,529,10.1,0.7
신도림,50.5,481,7.5,0.6
문래,56.3,459,9.3,0.7
영등포구청,46.4,435,8.4,0.7
합정,35.4,528,9.8,0.8
홍대입구,43.3,509,7.1,0.8
신촌,33.0,441,8.1,0.9
이대,61.6,444,6.6,0.8
아현,45.3,457,8.7,0.6
충정로,60.6,439,8.8,0.7
용두,35.9,438,7.3,0.7
신설동,24.4,455,6.6,0.8
도림천,67.2,450,5.5,0.8
양천구청,46.9,438,9.1,0.8
신정네거리,46.4,450,12.1,0.8
구파발,32.7,470,6.6,0.7
연신내,44.1,459,8.4,0.8
불광,51.2,532,4.8,0.6
녹번,36.1,454,4.6,0.6
홍제,28.8,473,11.1,0.7
무악재,53.6,468,5.1,1.1
독립문,43.1,483,5.9,0.7
경복궁,43.2,466,9.0,0.5
안국,58.4,481,8.8,0.6
종로가,36.9,487,8.6,0.6
을지로가,96.9,478,7.6,0.6
충무로,62.9,479,6.8,0.6
동대입구,68.9,474,7.9,1.0
약수,41.6,465,11.7,0.9
금호,48.0,477,10.6,0.9
압구정,43.0,541,13.7,0.9
신사,51.5,505,16.6,1.0
잠원,24.2,460,4.9,0.7
고속터미널,31.3,533,7.8,0.6
교대,34.2,504,8.5,0.8
남부터미널,32.4,472,10.4,0.8
양재,37.3,460,9.1,0.8
매봉,30.1,472,12.3,0.9
도곡,36.5,460,8.7,0.5
대치,31.1,468,9.2,0.7
학여울,20.3,466,9.1,1.1
대청,59.1,481,9.7,0.8
일원,48.6,488,6.1,0.5
수서,46.2,506,5.5,0.5
가락시장,21.7,478,5.4,0.6
경찰병원,24.5,496,5.3,0.5
오금,25.5,484,5.4,0.5
쌍문,50.4,505,10.0,0.7
수유,98.7,493,10.0,0.6
미아,49.4,480,12.2,0.5
미아사거리,43.8,485,11.4,0.7
길음,35.6,436,9.0,0.6
성신여대입구,58.4,516,12.2,0.7
한성대입구,47.1,513,10.4,0.9
혜화,36.7,467,11.9,0.7
동대문,56.7,485,14.4,0.8
동대문역사문화공원,39.5,502,10.9,0.7
충무로,53.0,491,7.9,0.5
명동,46.4,505,12.0,0.8
회현,40.5,466,10.0,0.7
서울,25.1,491,6.6,0.7
숙대입구,28.8,471,7.6,0.8
삼각지,23.3,470,5.0,0.8
신용산,37.4,480,5.3,0.9
이촌,74.2,473,8.3,1.0
총신대입구,39.8,482,8.2,0.8
사당,38.3,487,5.1,0.8
남태령,40.8,463,4.1,0.6
방화,67.4,373,7.1,0.6
개화산,57.2,368,8.1,0.3
김포공항,48.4,400,9.0,0.4
송정,39.6,490,7.7,0.5
마곡,27.2,476,4.0,0.4
발산,23.3,476,8.2,0.5
우장산,23.6,478,8.5,0.4
화곡,23.0,531,7.3,0.5
까치산,41.3,559,2.7,0.5
신정,59.5,497,3.2,0.4
목동,30.9,485,4.4,0.3
오목교,28.2,510,4.5,0.4
양평,29.8,482,4.8,0.3
영등포구청,26.4,533,4.1,0.5
영등포시장,32.6,501,4.9,0.4
신길,26.1,756,7.1,0.5
여의도,49.3,826,8.6,0.5
여의나루,42.2,658,6.6,0.3
마포,46.0,419,7.8,0.6
공덕,25.0,444,6.2,0.4
애오개,35.9,456,4.7,0.7
충정로,29.5,438,5.4,0.4
서대문,29.6,406,5.3,0.5
광화문,30.4,514,5.8,0.5
종로가,44.3,478,7.8,0.4
을지로가,32.9,381,5.0,0.6
동대문역사문화공원,32.7,350,8.5,0.5
청구,36.9,342,7.4,1.0
신금호,29.4,381,4.6,0.6
행당,21.4,341,3.2,0.4
왕십리,27.6,507,7.9,0.5
마장,32.1,407,7.8,0.5
답십리,26.9,395,8.3,0.4
장한평,47.4,431,6.6,0.3
군자,31.4,481,7.8,0.3
아차산,42.0,429,8.7,0.6
광나루,30.6,411,8.8,0.4
천호,59.1,433,6.6,0.4
강동,29.0,484,8.0,0.5
길동,38.5,495,6.9,0.6
굽은다리,30.9,501,7.9,0.5
명일,45.1,503,6.2,0.4
고덕,39.1,484,6.8,0.5
상일동,50.1,533,6.1,0.5
강일,40.5,453,6.2,0.4
미사,51.6,469,7.3,0.5
하남풍산,41.6,456,9.2,0.5
하남시청,35.3,481,5.4,0.6
하남검단산,26.5,463,6.4,0.4
둔촌동,34.0,523,7.9,0.7
올림픽공원,34.1,496,8.8,0.6
방이,31.7,482,6.6,0.5
오금,28.9,463,6.8,0.5
개롱,29.9,474,5.7,0.3
거여,30.6,486,7.5,0.3
마천,35.7,489,2.9,0.5
응암,50.4,514,10.9,0.4
역촌,56.0,494,14.9,0.6
불광,38.8,558,16.5,1.0
독바위,25.5,447,8.7,0.5
연신내,38.3,534,9.0,0.4
구산,31.6,479,8.3,0.5
새절,31.3,481,6.5,0.3
증산,32.6,478,6.1,0.3
디지털미디어시티,34.8,500,3.8,0.4
월드컵경기장,27.7,454,6.3,0.3
마포구청,42.7,533,3.4,0.5
망원,39.9,531,7.1,0.7
합정,42.1,579,6.7,0.4
상수,42.0,499,5.7,0.3
광흥창,33.5,464,7.0,0.3
대흥,34.0,491,7.8,0.6
공덕,28.5,503,5.9,0.6
효창공원앞,37.2,515,11.4,0.4
삼각지,45.2,583,7.8,0.7
녹사평,32.6,477,9.6,0.5
이태원,31.3,541,7.5,0.3
한강진,39.0,493,9.3,0.3
버티고개,45.4,505,7.3,0.6
약수,37.1,581,5.9,0.7
청구,39.8,488,10.9,0.3
신당,27.4,557,10.7,0.8
동묘앞,40.6,592,12.7,0.5
창신,34.1,485,8.6,0.4
보문,44.3,510,10.5,0.3
안암,40.3,553,9.8,0.9
고려대,30.0,492,19.6,0.7
월곡,39.6,485,5.8,0.3
상월곡,25.9,463,4.6,0.5
돌곶이,29.7,486,4.0,0.4
석계,30.4,545,4.8,0.5
태릉입구,28.6,479,6.2,0.3
화랑대,28.7,496,7.4,0.5
봉화산,33.6,470,7.0,0.4
수락산,37.0,502,10.0,0.4
마들,27.8,555,10.1,0.6
노원,41.4,527,9.0,0.6
중계,32.4,509,8.4,0.5
하계,35.2,561,9.5,0.5
공릉,37.9,543,8.7,0.7
태릉입구,33.1,487,10.4,0.5
먹골,31.5,463,8.5,0.4
중화,30.6,536,10.0,0.6
상봉,34.6,576,11.1,0.6
면목,27.0,765,6.8,0.4
사가정,37.7,666,7.3,0.4
용마산,36.5,479,8.0,0.4
중곡,30.7,500,6.7,0.4
군자,40.3,514,6.3,0.4
어린이대공원,26.4,693,8.9,0.4
건대입구,29.7,544,12.6,0.6
청담,24.6,583,10.6,0.6
강남구청,26.5,622,10.3,0.4
학동,34.3,724,12.3,0.4
논현,30.3,561,11.7,0.5
반포,27.7,734,11.6,0.5
고속터미널,42.5,692,18.8,0.5
내방,40.1,491,11.6,0.4
이수,33.7,579,11.3,0.5
남성,48.6,690,14.2,0.4
숭실대입구,42.1,713,12.3,0.5
상도,50.9,550,15.5,0.6
장승배기,45.9,540,17.9,0.8
신대방삼거리,28.8,540,14.7,0.6
보라매,40.9,528,15.5,0.5
신풍,31.2,716,10.0,0.4
대림,27.5,859,11.4,0.5
남구로,27.5,636,16.2,0.7
가산디지털단지,29.3,672,16.9,0.5
철산,29.2,546,14.1,0.4
광명사거리,36.2,535,14.1,0.4
천왕,47.8,525,7.2,0.5
온수,30.9,516,15.6,0.3
암사,39.1,731,16.4,0.4
천호,27.3,574,18.8,0.5
강동구청,28.2,587,17.8,0.5
몽촌토성,55.2,493,12.4,0.5
잠실,33.5,885,11.1,0.3
석촌,47.8,542,16.0,0.4
송파,33.6,738,13.1,0.3
가락시장,27.1,712,12.3,0.5
문정,38.6,559,14.2,0.5
장지,29.8,502,22.7,0.4
복정,24.4,541,16.3,0.5
산성,28.5,674,6.1,0.4
남한산성입구,24.7,693,3.5,0.6
단대오거리,26.2,469,9.2,0.4
신흥,38.2,511,20.2,0.8
수진,27.8,403,11.5,0.6
모란,24.2,398,11.1,0.5
언주,48.0,486,6.8,2.5
선정릉,45.6,474,6.2,2.2
삼성중앙,57.1,514,4.8,2.1
봉은사,56.1,505,7.4,2.8
종합운동장,43.2,458,5.7,2.1
삼전,56.6,482,5.2,2.2
석촌고분,52.1,450,10.2,1.3
석촌,51.7,467,5.4,0.6
송파나루,44.3,449,4.4,0.8
한성백제,40.1,428,7.4,1.2
올림픽공원,49.1,465,6.1,0.5
둔촌오륜,36.7,419,5.7,0.5
중앙보훈병원,39.2,510,5.8,0.7
