고유역번호(외부역코드),역명,위도,경도,미세먼지,초미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수
340,가락시장,37.492368,127.118101,21.7,13.0,478.0,5.4,0.6,22177.0
341,경찰병원,37.495754,127.124198,24.5,14.6,496.0,5.3,0.5,7337.0
342,오금,37.502288,127.128344,25.5,13.5,484.0,5.4,0.5,9893.0
413,쌍문,37.648274,127.034381,50.4,29.7,505.0,10.0,0.7,38775.0
414,수유,37.637127,127.024731,98.7,34.5,493.0,10.0,0.6,52003.0
415,미아,37.626435,127.026151,49.4,23.1,480.0,12.2,0.5,20759.0
416,미아사거리,37.613276,127.030083,43.8,27.1,485.0,11.4,0.7,41502.0
417,길음,37.604087,127.025353,35.6,21.3,436.0,9.0,0.6,25820.0
418,성신여대입구,37.592782,127.017338,58.4,31.7,516.0,12.2,0.7,37893.0
419,한성대입구,37.58838,127.006751,47.1,29.5,513.0,10.4,0.9,17814.0
420,혜화,37.582116,127.001759,36.7,22.9,467.0,11.9,0.7,60054.0
421,동대문,37.5708397,127.009403,56.7,29.7,485.0,14.4,0.8,47352.0
422,동대문역사문화공원,37.565083,127.007645,39.5,25.3,502.0,10.9,0.7,62298.0
423,충무로,37.561302,126.995473,53.0,30.7,491.0,7.9,0.5,24440.0
424,명동,37.561055,126.988271,46.4,31.8,505.0,12.0,0.8,60963.0
425,회현,37.559698,126.979565,40.5,25.1,466.0,10.0,0.7,39353.0
426,서울,37.553172,126.972836,25.1,16.8,491.0,6.6,0.7,129006.0
427,숙대입구,37.545124,126.971952,28.8,17.2,471.0,7.6,0.8,16940.0
428,삼각지,37.535057,126.973354,23.3,15.1,470.0,5.0,0.8,17137.0
429,신용산,37.52919,126.96858,37.4,24.8,480.0,5.3,0.9,23124.0
430,이촌,37.522525,126.97335,74.2,32.8,473.0,8.3,1.0,21346.0
432,총신대입구,37.487521,126.982309,39.8,26.3,482.0,8.2,0.8,26706.0
433,사당,37.476563,126.981746,38.3,23.0,487.0,5.1,0.8,91125.0
434,남태령,37.464339,126.989081,40.8,23.7,463.0,4.1,0.6,1517.0
2511,방화,37.577669,126.812822,67.4,31.7,373.0,7.1,0.6,8337.0
2512,개화산,37.572458,126.806838,57.2,30.0,368.0,8.1,0.3,7004.0
2513,김포공항,37.56217,126.801273,48.4,27.4,400.0,9.0,0.4,43504.0
2514,송정,37.561411,126.812052,39.6,20.9,490.0,7.7,0.5,9403.0
2515,마곡,37.562182,126.82693,27.2,14.2,476.0,4.0,0.4,10031.0
2516,발산,37.562182,126.82693,23.3,11.5,476.0,8.2,0.5,25707.0
2517,우장산,37.548864,126.83633,23.6,12.3,478.0,8.5,0.4,17918.0
2518,화곡,37.541585,126.840436,23.0,13.3,531.0,7.3,0.5,36756.0
2519,까치산,37.53181,126.846706,41.3,22.3,559.0,2.7,0.5,39140.0
2520,신정,37.525001,126.856176,59.5,26.2,497.0,3.2,0.4,15431.0
2521,목동,37.526088,126.864296,30.9,16.9,485.0,4.4,0.3,20204.0
2522,오목교,37.524557,126.875049,28.2,15.1,510.0,4.5,0.4,29906.0
2523,양평,37.525614,126.886177,29.8,14.3,482.0,4.8,0.3,11277.0
2524,영등포구청,37.524209,126.895022,26.4,13.0,533.0,4.1,0.5,23167.0
2525,영등포시장,37.52276,126.905143,32.6,17.5,501.0,4.9,0.4,14208.0
2526,신길,37.51763,126.914886,26.1,13.3,756.0,7.1,0.5,15493.0
2527,여의도,37.521578,126.924318,49.3,21.8,826.0,8.6,0.5,44762.0
2528,여의나루,37.527145,126.932807,42.2,19.1,658.0,6.6,0.3,17645.0
2529,마포,37.539718,126.946043,46.0,20.1,419.0,7.8,0.6,14434.0
2530,공덕,37.544005,126.951058,25.0,12.3,444.0,6.2,0.4,38821.0
2531,애오개,37.553592,126.956733,35.9,17.6,456.0,4.7,0.7,6865.0
2532,충정로,37.560061,126.962783,29.5,15.6,438.0,5.4,0.4,12658.0
2533,서대문,37.565812,126.966639,29.6,16.6,406.0,5.3,0.5,13920.0
2534,광화문,37.570545,126.976568,30.4,14.1,514.0,5.8,0.5,54973.0
2535,종로3가,37.572546,126.990447,44.3,21.0,478.0,7.8,0.4,90875.0
2536,을지로4가,37.56658,126.998127,32.9,15.3,381.0,5.0,0.6,24694.0
2537,동대문역사문화공원,37.564682,127.00533,32.7,17.0,350.0,8.5,0.5,62298.0
2538,청구,37.560237,127.01379,36.9,16.8,342.0,7.4,1.0,8915.0
2539,신금호,37.554504,127.020403,29.4,15.4,381.0,4.6,0.6,8015.0
2540,행당,37.557297,127.029482,21.4,10.9,341.0,3.2,0.4,9306.0
2541,왕십리,37.56197,127.037264,27.6,14.8,507.0,7.9,0.5,55575.0
2542,마장,37.566066,127.042921,32.1,16.6,407.0,7.8,0.5,7820.0
2543,답십리,37.566833,127.05266,26.9,14.0,395.0,8.3,0.4,18879.0
2544,장한평,37.561438,127.064601,47.4,22.4,431.0,6.6,0.3,22107.0
2545,군자,37.557102,127.079559,31.4,13.7,481.0,7.8,0.3,34436.0
2546,아차산,37.552005,127.089609,42.0,21.4,429.0,8.7,0.6,22034.0
2547,광나루,37.545301,127.103478,30.6,19.6,411.0,8.8,0.4,18517.0
2548,천호,37.538566,127.123539,59.1,27.9,433.0,6.6,0.4,55150.0
2549,강동,37.53581,127.13249,29.0,15.9,484.0,8.0,0.5,20656.0
2550,길동,37.538022,127.140085,38.5,19.7,495.0,6.9,0.6,11937.0
2551,굽은다리,37.545442,127.142844,30.9,18.2,501.0,7.9,0.5,14211.0
2552,명일,37.551317,127.144002,45.1,29.2,503.0,6.2,0.4,10969.0
