역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소
경복궁,88.4,544,16.8,1.0
안국,78.4,522,24.3,1.0
종로가,108.1,615,13.9,1.0
을지로가,85.2,613,10.2,0.7
충무로,101.3,554,7.1,0.8
동대입구,91.9,475,12.8,0.8
약수,101.5,583,8.9,0.9
금호,86.0,472,12.2,0.7
압구정,88.5,504,6.9,0.7
신사,96.2,535,7.4,0.7
잠원,74.6,435,6.1,0.8
고속터미널,79.1,684,14.6,0.9
교대,90.9,621,6.8,0.9
남부터미널,85.0,487,8.9,0.9
양재,88.1,560,8.6,0.7
매봉,72.3,535,6.7,0.6
도곡,94.6,556,6.1,0.7
대치,82.0,526,9.2,0.4
학여울,73.5,447,6.6,0.5
대청,91.2,477,7.2,0.5
일원,81.4,478,5.7,0.5
수서,82.9,504,9.0,0.6
가락시장,96.3,476,10.1,0.5
경찰병원,70.7,417,11.9,0.5
오금,72.4,439,6.1,0.5
쌍문,94.0,501,5.7,0.8
수유,88.1,508,6.1,0.8
미아,86.7,492,7.2,0.6
미아사거리,88.1,441,6.0,0.5
길음,82.4,454,4.3,0.6
성신여대입구,92.6,534,11.8,0.7
한성대입구,88.7,557,16.7,0.9
혜화,92.3,550,4.4,0.6
동대문,90.4,716,12.9,0.9
동대문역사문화공원,86.3,591,10.4,0.7
충무로,94.2,673,10.5,0.9
명동,94.0,718,16.8,1.1
회현,84.8,668,16.2,1.0
서울,87.7,722,17.6,1.0
숙대입구,93.0,480,15.1,0.8
삼각지,94.1,503,10.9,0.9
신용산,92.6,505,15.7,1.0
이촌,89.3,576,16.6,1.0
총신대입구,94.0,563,15.4,1.0
사당,98.9,586,13.4,0.9
남태령,96.8,418,7.2,0.7
방 화,59.7,462,8.9,0.9
개화산,65.6,433,9.3,0.9
김포공항,74.8,556,18.4,0.9
송정,69.1,507,10.8,1.0
마곡,64.8,443,9.8,0.8
발산,76.0,464,9.9,0.9
우장산,79.4,483,13.1,1.2
화곡,78.2,523,14.6,1.1
까치산,63.3,527,9.4,1.1
신정,59.0,493,9.7,0.9
목동,71.3,497,12.1,1.1
오목교,56.3,605,35.2,1.1
양평,80.2,522,10.2,1.1
영등포구청,82.7,568,16.6,1.1
영등포시장,77.9,492,9.9,0.9
신길,70.4,558,13.6,1.0
여의도,81.3,550,9.2,0.9
여의나루,71.0,526,5.4,1.0
마포,67.6,554,9.8,1.1
공덕,83.1,557,9.7,1.1
애오개,81.0,594,14.7,1.2
충정로,75.9,622,9.5,1.2
서대문,81.0,529,14.2,1.2
광화문,80.4,516,15.6,1.1
종로가,85.1,554,27.7,1.2
을지로가,66.8,531,15.4,1.4
동대문역사문화공원,94.5,536,17.8,1.3
청구,78.8,504,10.0,1.3
신금호,68.5,491,13.4,1.2
행당,81.7,545,11.3,1.2
왕십리,88.0,561,15.2,1.2
마장,75.3,620,10.5,1.5
답십리,74.5,644,13.7,1.3
장한평,84.3,622,9.5,1.1
군자,88.5,679,13.4,1.2
아차산,62.0,545,8.6,0.9
광나루,73.9,554,11.9,0.9
천호,69.8,546,11.8,1.1
강동,76.7,611,12.3,1.0
길동,85.5,573,7.8,0.9
굽은다리,66.9,624,9.3,0.9
명일,71.6,619,7.1,1.0
고덕,80.3,631,6.3,1.0
상일동,90.3,625,9.4,0.9
둔촌동,83.7,638,11.5,1.0
올림픽공원,84.6,654,7.9,1.1
방이,91.3,633,8.4,1.1
오금,68.8,619,10.2,1.1
개롱,68.2,616,8.9,0.9
거여,77.0,669,12.9,1.2
마천,76.1,598,14.7,1.0
응암,73.2,451,7.4,0.9
역촌,84.0,443,9.6,0.8
불광,90.7,479,9.6,0.9
독바위,96.5,453,12.4,0.8
연신내,79.3,502,12.6,0.9
구산,76.6,486,12.8,1.0
새절,87.4,568,9.5,0.8
증산,82.8,501,33.3,0.9
디지털미디어시티,72.6,441,17.1,0.8
월드컵경기장,95.0,431,8.8,0.9
마포구청,92.7,465,9.9,1.0
망원,96.4,497,12.5,1.2
합정,85.7,501,10.0,1.2
상수,101.6,519,12.7,1.4
광흥창,89.5,489,10.0,1.2
대흥,101.3,532,10.6,1.3
공덕,116.2,498,12.9,0.9
효창공원앞,106.9,473,9.7,1.1
삼각지,103.6,492,10.0,0.8
녹사평,92.0,469,10.6,1.0
이태원,112.6,507,11.8,1.1
한강진,93.8,431,11.5,0.9
버티고개,116.2,499,10.9,1.1
약수,114.9,542,9.1,1.1
청구,74.3,490,10.8,1.6
신당,67.9,496,26.6,1.3
동묘앞,61.3,508,11.3,1.5
창신,93.9,490,11.6,1.1
보문,74.7,539,12.6,1.3
안암,67.9,555,11.2,1.4
고려대,64.1,472,16.2,0.8
월곡,76.3,486,11.3,1.0
상월곡,86.7,517,20.0,1.1
돌곶이,70.1,506,10.4,1.0
석계,86.7,478,22.4,0.9
태릉입구,83.6,492,10.1,1.0
화랑대,67.7,474,11.3,0.8
봉화산,73.9,477,8.3,0.8
수락산,93.0,610,14.2,1.0
마들,80.2,629,14.3,1.0
노원,76.5,673,10.5,1.1
중계,76.6,679,10.0,1.1
하계,81.0,686,9.0,1.1
공릉,69.4,635,9.3,1.1
태릉입구,76.3,643,14.5,1.3
먹골,66.4,706,15.7,1.2
중화,93.1,667,11.3,1.2
상봉,78.8,710,15.9,1.2
면목,60.4,672,10.7,1.3
사가정,72.9,728,12.0,1.0
용마산,80.4,642,12.1,1.0
중곡,63.2,598,12.5,1.0
군자,70.0,715,11.9,1.0
어린이대공원,69.3,669,10.4,0.9
건대입구,64.6,754,15.1,1.0
청담,60.4,649,16.2,1.0
강남구청,72.1,633,14.8,1.0
학동,87.8,708,25.7,1.3
논현,86.8,655,24.3,1.3
반포,62.4,621,13.4,1.1
고속터미널,67.6,728,18.5,1.2
내방,61.1,603,13.7,1.1
이수,69.1,664,15.3,1.2
남성,68.2,616,12.1,1.0
숭실대입구,63.5,591,16.3,1.0
상도,71.7,561,11.5,1.0
장승배기,61.3,591,11.6,1.1
신대방삼거리,85.9,542,14.6,1.2
보라매,86.3,519,36.9,1.0
신풍,89.4,578,15.7,1.3
대림,90.8,616,17.8,1.2
남구로,66.8,570,22.8,1.3
가산디지털단지,79.1,560,19.7,1.0
철산,70.5,559,15.6,1.1
광명사거리,72.2,570,17.2,1.3
천왕,110.5,570,20.1,1.1
온수,75.2,464,14.5,0.9
까치울,87.7,563,13.6,1.2
부천종합운동장,67.5,457,13.0,0.9
춘의,85.1,466,11.1,1.0
신중동,79.6,514,23.4,0.9
부천시청,78.5,462,14.7,0.9
상동,83.5,500,12.6,0.9
삼산체육관,66.3,478,23.0,1.0
굴포천,61.4,451,12.7,0.8
부평구청,67.8,497,16.0,0.8
암사,76.2,654,10.8,1.0
천호,71.8,549,10.9,0.8
강동구청,71.5,602,8.4,1.0
몽촌토성,66.5,625,11.4,1.1
잠실,73.0,673,14.5,1.0
석촌,85.1,636,10.4,1.0
송파,72.1,644,11.6,1.1
가락시장,83.8,649,8.6,1.0
문정,78.6,676,6.4,1.2
장지,66.7,586,23.6,0.9
복정,80.0,628,7.3,1.0
산성,60.0,568,6.9,0.9
남한산성입구,71.2,664,9.6,1.1
단대오거리,68.9,638,11.3,1.0
신흥,76.9,673,27.2,1.2
수진,61.0,630,12.5,1.2
모란,76.1,643,8.1,1.1
