역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소
서울,76.4,627,16.4,0.6
시청,100.7,610,17.8,1.0
종각,99.8,687,20.5,0.9
종로가,105.3,646,20.6,1.3
종로가,99.4,532,16.4,1.1
동대문,99.5,561,17.2,1.1
동묘앞,87.4,567,15.9,1.1
신설동,98.5,511,11.2,1.1
제기동,97.8,497,13.7,0.8
청량리,91.5,550,14.4,0.7
시청,109.3,558,10.0,1.0
을지로입구,81.2,559,9.9,1.0
을지로가,94.2,592,13.4,0.9
을지로가,67.0,626,9.6,0.8
동대문역사문화공원,89.9,572,7.9,1.3
신당,95.8,563,7.5,1.1
상왕십리,82.0,477,10.6,0.8
왕십리,85.9,562,16.0,0.6
잠실,88.5,667,15.8,0.8
신천,77.7,463,13.1,0.5
종합운동장,97.0,453,13.2,0.5
삼성,92.2,520,17.2,0.5
선릉,92.9,580,16.5,1.0
역삼,81.6,584,18.0,1.1
강남,78.2,736,24.3,1.0
교대,83.4,639,17.8,0.6
서초,92.8,479,14.9,0.5
방배,93.3,513,15.3,0.6
사당,87.8,605,9.3,1.3
낙성대,89.9,492,7.6,1.1
서울대입구,86.5,481,7.2,1.0
봉천,81.4,447,6.8,1.0
신림,93.0,571,5.5,0.9
신도림,73.2,498,9.1,0.9
문래,86.8,460,12.5,1.0
영등포구청,96.5,520,11.6,0.7
합정,91.4,620,14.7,1.0
홍대입구,84.3,740,30.5,1.3
신촌,90.9,568,9.2,0.9
이대,88.0,595,17.2,1.1
아현,91.6,555,12.2,0.9
충정로,93.2,639,13.4,1.1
도림천,74.6,438,6.8,0.5
양천구청,72.5,424,8.8,0.8
신정네거리,101.9,463,12.0,1.1
신설동,70.1,476,15.8,0.6
용두,68.9,446,11.8,0.6
구파발,87.2,452,10.1,0.8
연신내,105.1,491,8.6,0.9
불광,95.2,507,11.4,0.9
녹번,84.4,518,15.7,0.8
홍제,95.9,603,12.7,1.1
무악재,101.3,483,13.9,0.8
독립문,99.0,536,13.8,0.9
