역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수
여의도,73.7,876,8.3,1.4,88536.0
여의나루,66.7,485,5.5,1.3,14100.0
마포,72.7,540,6.1,1.4,27402.0
공덕,84.1,670,6.3,1.5,76183.0
애오개,83.1,589,5.0,1.7,14337.0
충정로,70.3,504,4.6,1.1,30482.0
서대문,76.9,543,5.0,1.3,37330.0
광화문,80.4,662,12.0,1.6,84053.0
동대문역사문화공원,95.1,543,9.1,1.5,94342.0
청구,74.6,593,12.3,1.6,14680.0
신금호,65.0,581,10.5,1.9,12942.0
행당,75.1,601,9.4,1.9,15938.0
왕십리,84.6,669,10.1,1.8,86156.0
마장,66.0,572,8.6,1.3,13076.0
답십리,68.4,548,5.4,1.5,32106.0
장한평,85.5,550,4.2,1.7,36003.0
군자,84.1,695,6.4,2.1,49825.0
아차산,61.8,585,5.6,2.0,28696.0
광나루,71.4,606,4.2,2.0,25159.0
천호,79.0,556,5.9,1.6,85280.0
강동,89.5,565,4.4,1.8,35788.0
길동,67.6,583,6.4,2.3,16360.0
굽은다리,77.4,555,6.8,2.6,19303.0
명일,70.6,573,6.8,2.6,16311.0
고덕,78.9,533,4.3,1.9,18900.0
상일동,69.4,562,3.9,1.9,20368.0
둔촌동,88.4,519,5.8,2.1,18397.0
올림픽공원,82.1,492,7.8,2.3,28855.0
방이,57.9,507,6.7,2.4,14118.0
오금,85.8,577,7.7,2.5,18194.0
개롱,83.6,511,3.6,2.3,13132.0
거여,80.4,514,3.5,2.4,14316.0
마천,60.5,473,2.8,2.3,10415.0
응암,63.4,640,5.2,1.6,36180.0
역촌,61.9,539,3.0,1.4,8658.0
불광,86.7,603,2.7,1.0,51856.0
독바위,64.0,506,1.5,1.2,5715.0
연신내,82.5,649,2.6,1.5,85974.0
구산,67.0,613,1.1,1.4,13909.0
새절,70.3,612,3.6,1.0,25406.0
증산,57.9,562,2.1,0.9,20403.0
디지털미디어시티,90.1,513,2.0,0.9,52550.0
월드컵경기장,66.5,520,0.4,1.0,12636.0
마포구청,78.7,683,2.1,1.5,27116.0
망원,75.2,630,2.2,1.7,29259.0
합정,87.4,656,6.2,1.1,102172.0
상수,78.8,586,1.8,1.3,23745.0
광흥창,93.0,571,1.1,1.1,18431.0
대흥,89.8,594,3.3,1.5,16389.0
공덕,92.0,656,4.4,1.5,76183.0
효창공원앞,60.5,570,4.8,1.6,18271.0
삼각지,89.6,648,2.4,1.3,20786.0
녹사평,69.4,492,0.6,0.9,12970.0
이태원,78.9,639,3.4,1.7,51632.0
한강진,84.8,557,1.9,1.1,15660.0
버티고개,66.8,494,0.9,1.3,4520.0
약수,78.2,627,2.7,1.5,35596.0
청구,78.4,580,2.0,1.6,14680.0
신당,89.8,574,2.3,1.5,46185.0
동묘앞,78.7,575,9.5,1.6,38380.0
창신,91.2,524,8.7,2.3,6500.0
보문,92.4,668,6.9,1.8,17250.0
안암,81.7,615,12.6,1.6,26496.0
고려대,59.6,579,10.5,1.7,18544.0
월곡,71.4,541,11.3,1.2,23993.0
상월곡,78.0,512,7.5,1.8,10775.0
돌곶이,86.5,571,10.6,1.9,15996.0
석계,85.3,717,11.5,1.6,46138.0
태릉입구,92.3,550,7.5,1.2,26663.0
화랑대,76.3,529,7.7,1.0,21017.0
봉화산,71.8,520,8.8,1.3,18982.0
수락산,84.6,543,8.6,1.1,26759.0
마들,81.9,532,7.4,0.9,23405.0
노원,82.6,662,11.7,1.5,101475.0
중계,78.2,558,9.5,1.3,28847.0
하계,77.1,699,9.8,1.6,37750.0
공릉,86.3,629,7.9,1.0,24105.0
태릉입구,86.0,573,11.8,1.0,26663.0
먹골,81.7,548,9.8,1.2,21162.0
중화,76.3,552,9.5,1.4,22899.0
상봉,85.0,675,9.3,1.8,46701.0
면목,90.1,616,8.4,1.2,30356.0
사가정,93.2,550,9.1,1.0,32219.0
용마산,79.8,565,9.8,1.2,11893.0
중곡,86.0,512,10.1,1.3,19604.0
군자,84.0,689,13.0,1.4,49825.0
어린이대공원,77.1,627,10.3,1.6,25450.0
건대입구,76.3,669,11.7,1.4,137453.0
청담,79.2,660,15.3,1.5,39900.0
강남구청,80.7,636,13.0,1.7,45180.0
학동,80.5,603,18.1,1.5,37385.0
논현,81.3,693,10.6,1.4,37126.0
반포,84.0,619,9.5,1.2,12448.0
고속터미널,86.8,677,8.6,1.0,201646.0
내방,90.0,639,6.1,1.5,26717.0
남성,78.0,537,3.4,1.3,21987.0
숭실대입구,82.1,627,6.8,1.1,25146.0
상도,79.4,595,6.0,1.1,20120.0
장승배기,76.6,572,6.1,1.0,21954.0
신대방삼거리,80.7,608,8.0,1.2,32449.0
보라매,85.7,562,6.2,1.3,17284.0
신풍,80.8,664,7.7,1.3,21450.0
대림,94.4,713,7.7,1.1,84924.0
남구로,90.4,628,11.0,1.2,32998.0
가산디지털단지,86.2,608,14.2,1.4,100628.0
철산,84.6,537,14.8,1.5,47812.0
광명사거리,87.7,571,6.7,1.6,53885.0
천왕,81.4,552,4.1,1.0,16995.0
온수,76.8,547,7.7,1.1,31768.0
암사,83.9,576,2.9,1.5,35383.0
천호,86.2,598,3.2,1.4,85280.0
강동구청,84.7,529,2.4,1.7,21660.0
몽촌토성,79.1,496,5.2,1.3,12036.0
잠실,81.5,755,10.2,1.4,238075.0
석촌,80.6,609,5.1,0.9,26828.0
송파,91.6,562,4.6,1.9,11582.0
가락시장,81.0,535,5.7,1.6,36748.0
문정,86.9,583,4.8,1.9,31904.0
장지,82.6,523,7.3,1.6,38468.0
복정,88.8,594,5.4,1.3,19891.0
산성,88.0,495,5.5,1.0,10709.0
남한산성입구,79.5,581,4.4,2.0,25294.0
단대오거리,76.4,564,3.5,1.5,21394.0
신흥,75.7,520,15.1,1.4,10198.0
수진,80.1,556,15.3,1.1,11066.0
모란,85.8,517,4.6,1.1,52597.0
종합운동장,86.6,500,3.3,0.4,24902.0
