역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수
서울,82.6,522,6.5,0.9,194273.0
시청,96.3,691,5.5,0.9,113670.0
종각,93.0,515,6.9,1.0,124961.0
동대문,89.2,565,9.3,1.1,77584.0
동묘앞,77.5,560,10.1,1.2,38380.0
신설동,92.0,574,7.9,1.0,45600.0
제기동,98.0,528,9.7,0.9,43699.0
청량리,84.9,518,11.4,1.4,96804.0
시청,85.9,697,9.7,1.0,113670.0
을지로입구,84.1,617,9.2,1.1,121523.0
동대문역사문화공원,77.6,525,8.7,1.4,94342.0
신당,84.0,581,7.1,1.6,46185.0
상왕십리,99.6,501,9.9,1.7,28121.0
왕십리,66.1,536,12.2,1.2,86156.0
잠실,79.3,707,16.4,1.2,238075.0
잠실새내,84.4,512,12.4,1.3,54556.0
종합운동장,77.3,462,4.9,0.9,24902.0
삼성,74.3,600,7.3,1.2,159643.0
선릉,87.1,729,8.5,1.2,124246.0
역삼,87.8,589,8.7,1.5,88327.0
강남,86.7,783,17.2,1.5,203667.0
교대,93.8,660,10.0,1.6,89374.0
서초,87.2,510,7.3,1.0,47451.0
방배,78.7,508,8.4,1.3,33629.0
사당,92.0,588,8.0,1.1,132652.0
낙성대,85.6,532,10.9,1.0,56860.0
서울대입구,72.6,478,9.5,0.9,105795.0
봉천,85.0,489,10.0,1.0,47595.0
신림,86.0,537,3.4,1.0,141525.0
신도림,78.7,498,3.2,0.7,125209.0
문래,87.7,471,2.2,0.9,40128.0
도림천,84.5,456,2.7,0.9,2150.0
양천구청,75.7,405,5.4,0.8,13455.0
신정네거리,80.0,489,5.3,1.0,19014.0
영등포구청,87.7,484,3.8,0.9,51609.0
합정,79.0,560,6.6,0.9,102172.0
홍대입구,86.3,839,13.7,1.1,229901.0
신촌,84.9,522,7.4,1.1,106476.0
이대,83.0,466,6.7,1.1,42060.0
아현,84.3,492,6.7,1.3,20382.0
충정로,86.0,461,4.8,1.0,30482.0
신설동,95.7,396,1.7,1.0,45600.0
용두,87.1,839,0.0,1.1,5118.0
구파발,90.8,452,7.3,0.6,39622.0
연신내,87.9,546,11.8,0.6,85974.0
불광,77.6,523,6.8,0.6,51856.0
녹번,89.4,442,7.5,0.6,24565.0
홍제,92.9,482,10.7,0.6,37402.0
무악재,91.1,423,11.0,0.5,7753.0
독립문,89.6,461,13.7,0.7,15041.0
경복궁,87.6,498,15.0,0.6,48317.0
안국,79.6,574,11.8,0.6,45718.0
오금,80.6,508,6.7,0.6,18194.0
경찰병원,75.0,458,8.9,0.6,15134.0
가락시장,76.9,444,6.3,0.4,36748.0
수서,83.6,626,3.3,0.6,61808.0
일원,90.4,412,6.9,0.5,18858.0
대청,77.7,396,10.9,0.4,18636.0
학여울,82.2,396,8.9,0.6,3228.0
대치,81.0,427,7.3,0.4,24914.0
도곡,108.0,471,7.6,0.4,23077.0
매봉,86.4,422,6.7,0.5,20523.0
양재,78.9,485,4.5,0.9,74210.0
남부터미널,63.1,465,4.7,0.6,66890.0
교대,76.8,705,10.7,0.9,89374.0
고속터미널,89.9,724,10.4,0.9,201646.0
잠원,65.9,398,5.5,0.6,12181.0
신사,80.5,525,7.2,0.8,73016.0
압구정,69.5,534,7.0,0.8,71915.0
금호,72.6,436,8.6,0.6,16913.0
약수,78.2,506,9.8,0.8,35596.0
동대입구,78.2,436,11.8,0.8,25211.0
충무로,86.3,459,10.5,1.1,66054.0
쌍문,85.1,522,6.1,0.8,63168.0
수유,77.7,481,5.2,0.6,81545.0
미아,83.4,417,7.4,0.6,34117.0
미아사거리,83.1,563,25.9,0.7,61976.0
길음,81.0,467,28.1,0.6,42419.0
성신여대입구,71.8,516,5.5,0.6,57186.0
한성대입구,76.7,460,13.1,0.6,28963.0
혜화,88.8,586,6.8,0.6,88496.0
동대문역사문화공원,94.7,523,21.9,0.5,94342.0
동대문,93.2,429,16.0,0.6,77584.0
충무로,86.6,533,22.8,0.6,66054.0
명동,94.8,658,15.2,1.0,100234.0
회현,89.4,433,15.5,0.9,58180.0
서울,101.7,540,14.7,1.0,194273.0
숙대입구,92.5,432,12.0,0.9,31204.0
삼각지,86.0,488,7.8,1.0,20786.0
신용산,83.7,432,10.0,1.3,33391.0
이촌,84.2,429,8.9,0.9,30960.0
총신대입구,96.8,547,9.2,1.1,45800.0
사당,89.9,585,9.8,1.0,132652.0
남태령,91.4,448,4.9,0.8,2568.0
방화,69.5,525,7.7,1.0,14318.0
개화산,60.2,528,8.2,1.2,11530.0
김포공항,78.5,576,9.6,1.3,55279.0
송정,65.0,518,6.2,1.4,17964.0
마곡,76.4,506,9.3,1.2,11604.0
발산,85.3,522,6.1,1.3,31555.0
우장산,76.3,533,8.1,0.9,30343.0
화곡,70.3,499,7.2,1.1,58688.0
까치산,69.1,552,7.0,1.3,60327.0
신정,68.9,534,5.9,1.3,25697.0
목동,63.9,504,5.3,1.1,37278.0
오목교,66.9,625,7.0,1.3,53093.0
양평,69.2,481,4.9,1.1,19939.0
영등포구청,74.8,622,6.2,1.5,51609.0
영등포시장,73.1,536,5.7,1.4,20274.0
신길,82.9,660,6.9,1.3,24109.0
