역명,총 승객수
가락시장,29807
가산디지털단지,99939
강남,142726
강남구청,44958
강동,30967
강동구청,18813
강일,6452
개롱,11286
개화산,9649
거여,15743
건대입구,96527
경복궁,31960
경찰병원,12119
고덕,16568
고려대,13398
고속터미널,154462
공덕,65047
공릉,20918
광나루,22290
광명사거리,42469
광화문,50848
광흥창,14923
교대,75165
구산,12053
구파발,35682
군자,45811
굽은다리,17637
금호,13846
길동,15524
길음,35136
김포공항,58196
까치산,52293
낙성대,47190
남구로,28281
남부터미널,53342
남성,18638
남태령,1966
남한산성입구,22314
내방,24709
노원,79232
녹번,26092
녹사평,9722
논현,34460
단대오거리,18470
답십리,28112
대림,61165
대청,16769
대치,19316
대흥,13784
도곡,19852
도림천,2420
독립문,11965
독바위,4771
돌곶이,16076
동대문,51604
동대문역사문화공원,56775
동대입구,13002
동묘앞,28516
둔촌동,15341
디지털미디어시티,48224
마곡,17917
마들,22633
마장,10255
마천,11812
마포,24230
마포구청,24066
망원,28607
매봉,19815
먹골,18549
면목,28147
명동,43371
명일,15313
모란,44452
목동,30533
몽촌토성,10407
무악재,6665
문래,37155
문정,32424
미사,28166
미아,26761
미아사거리,52555
반포,10206
발산,33447
방배,26274
방이,12204
방화,11739
버티고개,3521
보라매,16475
보문,15175
복정,14489
봉천,40677
봉화산,15161
불광,38486
사가정,29735
사당,104301
산성,9275
삼각지,18908
삼성,86764
상도,18042
상봉,41624
상수,17129
상왕십리,24649
상월곡,10461
상일동,25590
새절,21823
서대문,30331
서울대입구,84552
서울,141462
서초,35264
석계,37948
석촌,29814
선릉,106914
성신여대입구,43650
송정,11814
송파,14078
수락산,22475
수서,57601
수유,64073
수진,9621
숙대입구,21777
숭실대입구,19613
시청,75763
신금호,11275
신길,21360
신당,40264
신대방삼거리,29103
신도림,91383
신림,115720
신사,57385
신설동,33985
신용산,30196
신정,22301
신정네거리,18748
신촌,64367
신풍,20155
신흥,8937
쌍문,52192
아차산,25934
아현,18052
안국,29316
안암,16505
암사,31552
압구정,62070
애오개,12358
약수,29434
양재,64714
양천구청,11723
양평,17580
어린이대공원,22030
여의나루,13864
여의도,91184
역삼,80766
역촌,7650
연신내,66151
영등포구청,47121
영등포시장,18036
오금,15928
오목교,42352
온수,28354
올림픽공원,22136
왕십리,65207
용두,4588
용마산,10616
우장산,25377
월곡,20138
월드컵경기장,7356
을지로3가,58013
을지로4가,34628
을지로입구,74109
응암,31886
이대,23082
이촌,19429
이태원,22121
일원,16979
잠실,169205
잠실새내,39254
잠원,8231
장승배기,16730
장지,29720
장한평,33789
제기동,30670
종각,56116
종로3가,87912
종로5가,41631
종합운동장,21322
중계,23240
중곡,18779
중화,19596
증산,18039
창신,5506
천왕,19355
천호,66237
철산,38589
청구,13185
청담,33277
청량리,69635
총신대입구,34542
충무로,45363
충정로,24690
태릉입구,24887
하계,30833
하남검단산,9783
하남시청,11340
하남풍산,7369
학동,38209
학여울,2705
한강진,18398
한성대입구,23429
합정,83109
행당,13468
혜화,59801
홍대입구,136155
홍제,30202
화곡,50298
화랑대,17982
회현,49178
효창공원앞,17061
