역명,공기청정기_효용_상태,오염_청정기_비율,오염_점수,오염_등급,미세먼지,설치대수,총 승객수
양평,과잉,2.7367433262743868,38.31440656784142,0,61.0,14,11146.0
영등포시장,과잉,2.8478797033319876,45.5660752533118,1,72.9,16,11872.0
신길,과잉,2.3021910172848052,46.043820345696105,1,72.9,20,14978.0
여의도,과잉,2.6740982436407683,42.78557189825229,0,64.3,16,27342.0
여의나루,과잉,2.500826320927838,45.01487377670109,1,71.0,18,15700.0
마포,적합,3.3729407240775986,47.22117013708638,1,75.8,14,11320.0
공덕,적합,3.2740759234996992,45.83706292899579,0,67.8,14,33528.0
애오개,적합,3.5071161594937332,49.099626232912264,1,80.1,14,6759.0
서대문,적합,3.395554044886109,47.537756628405525,1,76.1,14,12208.0
광화문,부족,4.053252361451012,56.745533060314166,1,81.2,14,52177.0
청구,과잉,2.426652567085168,43.67974620753302,1,70.8,18,7800.0
신금호,과잉,2.5571752342987275,46.0291542173771,1,74.9,18,7081.0
행당,적합,3.548362901254405,49.67708061756167,1,80.4,14,9343.0
마장,적합,3.246367856250189,45.44914998750265,1,73.9,14,7211.0
답십리,과잉,2.7815005960277635,44.504009536444215,0,69.4,16,18620.0
장한평,적합,3.341630159966161,53.46608255945858,1,83.7,16,21104.0
군자,과잉,2.6698496044640128,48.05729288035223,1,72.1,18,31189.0
아차산,적합,3.423974900913818,47.93564861279345,1,74.7,14,20256.0
광나루,부족,4.205115593679359,58.87161831151103,2,93.9,14,16459.0
천호,과잉,2.654267212705005,53.0853442541001,1,72.4,20,62708.0
강동,과잉,2.8935884716694544,57.87176943338909,2,91.0,20,21271.0
길동,적합,3.668811542613238,51.363361596585335,1,83.0,14,10164.0
굽은다리,적합,3.5033002634058183,49.046203687681455,1,78.5,14,12653.0
명일,적합,3.7903048256275462,53.064267558785644,2,85.7,14,10690.0
고덕,적합,3.062365076618408,48.997841225894526,1,79.2,16,9608.0
상일동,과잉,2.920304978220419,52.56548960796754,1,84.8,18,10958.0
둔촌동,적합,3.4979479340908655,48.971271077272114,1,78.3,14,12946.0
올림픽공원,적합,3.8672919464838484,54.142087250773876,2,88.5,14,6775.0
방이,적합,3.7765183463937575,52.871256849512605,2,85.9,14,8655.0
개롱,적합,3.4347195510839734,48.08607371517563,1,78.3,14,7191.0
거여,적합,3.2165427368386355,45.031598315740894,1,73.1,14,7617.0
마천,적합,3.174478448240344,44.44269827536482,1,72.3,14,6909.0
응암,과잉,2.623574943062744,57.718648747380364,2,90.4,22,22616.0
역촌,적합,3.7840642776116042,52.97689988656246,2,86.9,14,5441.0
독바위,적합,3.085188847414146,43.19264386379805,1,71.0,14,3853.0
구산,적합,3.551628666463413,49.72280133048778,1,80.7,14,8470.0
새절,적합,3.207996745880679,51.327947934090865,1,81.5,16,15785.0
증산,적합,3.8647047465234006,54.10586645132761,2,86.7,14,13561.0
디지털미디어시티,과잉,2.171091797014967,47.76401953432928,1,73.7,22,23041.0
월드컵경기장,심각한 과잉,1.9251575803020686,42.35346676664551,0,67.6,22,11660.0
마포구청,적합,3.555363343468552,49.77508680855973,1,79.4,14,13881.0
망원,과잉,2.44816312361274,44.06693622502932,0,68.7,18,18509.0
상수,적합,3.51722696023094,49.24117744323316,1,76.8,14,20552.0
광흥창,과잉,2.937007235648869,52.86613024167964,2,85.5,18,10182.0
대흥,적합,3.1115972170722124,43.56236103901097,1,70.6,14,7817.0
효창공원앞,적합,3.1366056218876777,50.18568995020284,1,81.2,16,9529.0
녹사평,적합,3.2859439830035955,52.57510372805753,1,84.2,16,13361.0
이태원,적합,3.2983292236257715,52.773267578012344,1,73.7,16,55608.0
한강진,과잉,2.996104501932283,47.93767203091653,1,76.1,16,14808.0
버티고개,과잉,2.4037471133243185,43.26744803983773,1,71.4,18,2779.0
창신,적합,3.1246620907115803,43.74526926996212,1,72.0,14,3545.0
보문,적합,3.1180849106095687,43.653188748533964,1,70.0,14,10748.0
안암,과잉,2.9670810020957106,47.47329603353137,1,76.0,16,12179.0
고려대,과잉,2.9911919834265825,47.85907173482532,1,77.3,16,9616.0
월곡,과잉,2.9788574120309717,41.7040037684336,0,65.9,14,14069.0
상월곡,적합,3.1399470064024917,50.23915210243987,1,81.9,16,7146.0
돌곶이,적합,3.125450962296437,50.00721539674299,1,80.8,16,9929.0
석계,적합,3.3773815154486555,54.03810424717849,1,82.4,16,29894.0
태릉입구,과잉,2.66498146545923,53.299629309184596,1,84.7,20,16121.0
화랑대,과잉,2.978928495895099,53.620712926111786,2,86.5,18,11187.0
봉화산,과잉,2.561785412914789,46.112137432466206,1,74.3,18,9961.0
수락산,과잉,2.700500836361539,54.01001672723078,2,85.3,20,18399.0
마들,부족,4.040663458554097,56.569288419757356,2,91.1,14,12413.0
노원,부족,4.345141796927573,60.83198515698602,1,84.3,14,66652.0
중계,적합,3.124357611851339,49.98972178962143,1,78.7,16,18007.0
하계,적합,3.7156452893206655,52.01903405048932,1,80.3,14,24959.0
공릉,적합,3.118632813251043,49.898125012016685,1,79.3,16,15071.0
먹골,적합,3.0685993828228644,49.09759012516583,1,78.6,16,12597.0
중화,적합,3.254232621121356,45.559256695698984,1,72.5,14,13388.0
상봉,적합,3.6866937763165484,51.613712868431676,1,77.7,14,32466.0
면목,부족,4.119713577072981,57.675990079021744,2,91.2,14,19218.0
사가정,적합,3.9521944533711273,55.33072234719578,2,87.0,14,20354.0
용마산,적합,3.1449161029122963,44.028825440772145,1,71.4,14,7729.0
중곡,적합,3.6359605523007494,50.903447732210495,1,81.7,14,12245.0
어린이대공원,과잉,2.9237426217530906,46.77988194804945,1,73.4,16,17813.0
건대입구,적합,3.441746681791672,61.951440272250096,1,74.6,18,111768.0
청담,과잉,2.9121689402241833,46.59470304358693,1,73.5,16,16219.0
강남구청,적합,3.0504086395185634,48.806538232297015,1,77.1,16,16556.0
학동,적합,3.0325093730172465,48.520149968275945,1,77.2,16,14304.0
논현,적합,3.1585081040549117,50.53612966487859,1,80.4,16,14928.0
반포,적합,3.411534016155923,47.76147622618292,1,77.9,14,6641.0
내방,적합,3.8772917542168277,54.28208455903559,2,87.5,14,11586.0
남성,적합,3.209750355007319,44.93650497010247,1,71.6,14,12850.0
숭실대입구,적합,3.469528204198563,48.57339485877988,1,77.4,14,13870.0
상도,적합,3.376708251276516,47.273915517871224,1,75.7,14,12053.0
장승배기,적합,3.306628927397226,46.29280498356116,1,73.8,14,13086.0
신대방삼거리,적합,3.6040792195057634,50.45710907308069,1,79.5,14,17925.0
보라매,적합,3.186650790904122,44.61311107265771,1,72.2,14,8407.0
신풍,과잉,2.5173641046018047,45.31255388283248,1,71.4,18,16075.0
대림,부족,4.606716244091222,64.49402741727711,2,87.1,14,79538.0
남구로,부족,4.026443279855635,56.370205917978886,2,88.3,14,22041.0
가산디지털단지,적합,3.2856857924285245,52.57097267885639,1,77.1,16,41030.0
철산,적합,3.4449980910631544,48.22997327488416,1,72.9,14,29191.0
광명사거리,적합,3.838588399569322,61.417414393109155,2,92.9,16,36911.0
천왕,적합,3.4823184106658753,48.752457749322254,1,78.8,14,9573.0
온수,과잉,2.312638211147642,46.252764222952834,1,72.2,20,19067.0
암사,적합,3.7868516000736108,53.01592240103055,1,82.9,14,21298.0
강동구청,적합,3.4635212056790183,48.489296879506256,1,77.7,14,12153.0
몽촌토성,적합,3.801432526635849,53.22005537290188,2,85.5,14,12483.0
석촌,적합,3.199219823157067,57.585956816827206,2,92.0,18,15512.0
송파,적합,3.6722273859650563,51.41118340351079,1,84.1,14,6184.0
문정,과잉,2.8945910587290293,52.10263905712253,1,84.6,18,8729.0
장지,적합,3.8475191786352885,53.86526850089404,1,82.8,14,27210.0
복정,과잉,2.958206469144348,53.24771644459826,2,85.3,18,13443.0
산성,과잉,2.9803977764319085,47.686364422910536,1,77.5,16,7713.0
남한산성입구,적합,3.3846681608560822,47.38535425198515,1,75.1,14,15118.0
단대오거리,적합,3.1444841063840885,44.02277748937724,0,69.8,14,13931.0
신흥,적합,3.6042895596261233,50.46005383476572,1,82.1,14,7802.0
수진,적합,3.3412221590487725,46.777110226682815,1,75.8,14,8433.0
모란,적합,3.2348127319220934,51.757003710753494,1,77.2,16,35348.0
