역명,총 승객수
인천공항1터미널,22201
인천공항2터미널,7042
인천논현,7889
인하대,7296
일산,10856
일원,8842
임진강,51
잠실(송파구청),171903
잠실나루,13628
잠실새내,33795
잠원,6054
장승배기,11537
장암,1988
장지,22264
장한평,22107
정릉,6341
정발산,12220
정부과천청사,11703
정왕,12981
정자,19635
제기동,32189
제물포,12996
종각,45389
종로3가,90875
종로5가,41467
종합운동장,26047
주안,27510
주엽,12009
죽전,19722
중계,16012
중곡,12711
중동,11869
중랑,8058
중앙,30128
중앙보훈병원,8055
중화,13529
증미,6009
증산(명지대앞),13549
지축,7137
지평,66
지행,10796
직산,1250
진위,1738
창동,36949
창신,3666
천마산,2227
천안,12312
천왕,12323
천호(풍납토성),55150
철산,27184
청구,8915
청담,17726
청라국제도시,7723
청량리(서울시립대입구),68855
청명,4686
청평,2954
초월,4136
초지,6202
총신대입구(이수),26706
춘천,2659
충무로,24440
충정로(경기대입구),12658
탄현,9597
탕정,1654
태릉입구,19317
태평,19772
퇴계원,4595
파주,1504
판교,6594
팔당,2024
평내호평,8072
평촌,15781
평택,26290
평택지제,5916
풍산,7815
하계,21652
하남검단산,10523
하남시청(덕풍·신장),10767
하남풍산,6012
학동,16048
학여울,1764
한강진,18635
한남,4737
한대앞,12690
한성대입구(삼선교),17814
한성백제,3402
한양대,5868
한티,23566
합정,75414
행당,9306
행신,9919
혜화,60054
호구포,4662
홍대입구,181157
홍제,24044
화계,4609
화곡,36756
화랑대(서울여대입구),10883
화서,9304
화전,1521
화정,24503
회기,34879
회룡,17056
회현(남대문시장),39353
효창공원앞,10751
흑석(중앙대입구),10199
