연번,호선,역명,미세먼지,초미세먼지,이산화탄소,포름알데히드,일산화탄소,이산화질소,휘발성유기화합물,라돈
78,3,오금,48.2,30.5,439.0,6.6,0.3,0.032,85.2,39.96666667
79,4,쌍문,144.175,88.6,445.0,4.9,0.1,0.031,72.1,36.2
80,4,수유,89.5,43.35,504.0,4.9,0.3,0.028,21.9,33.1
81,4,미아,90.75,72.55,492.0,3.5,0.2,0.033,30.2,55.5
82,4,미아사거리,83.475,52.925,510.0,4.7,0.2,0.034,26.6,27.85
83,4,길음,67.6,34.4,486.0,5.7,0.4,0.03,23.8,55.1
84,4,성신여대입구,81.9,40.025,580.0,6.3,0.1,0.03,25.9,47.9
85,4,한성대입구,59.9,35.6,455.0,5.5,0.2,0.031,138.8,37.5
86,4,혜화,43.2,24.2,551.0,7.3,0.4,0.027,149.0,50.4
87,4,동대문,61.8,41.8,508.0,5.9,0.4,0.032,29.3,44.55
88,4,동대문역사문화공원,47.4,37.6,601.0,9.1,0.3,0.038,158.5,37.53333333
89,4,충무로,81.8,47.6,512.0,4.2,0.2,0.034,157.9,47.6
90,4,명동,78.0,46.0,530.0,7.1,0.4,0.03,104.6,49.65
91,4,회현,69.6,43.9,580.0,9.3,0.5,0.036,85.5,64.66666667
93,4,숙대입구,60.5,36.4,571.0,6.7,0.3,0.034,77.8,26.15
94,4,삼각지,66.1,40.3,539.0,10.4,0.3,0.034,73.6,29.35
95,4,신용산,67.3,47.1,488.0,7.5,0.4,0.038,44.5,27.1
96,4,이촌,53.2,34.7,530.0,6.0,0.1,0.036,40.1,31.2
97,4,총신대입구,61.1,44.5,509.0,4.7,0.1,0.036,28.4,62.2
98,4,사당,54.3,40.1,563.0,5.0,0.2,0.041,80.6,38.63333333
99,4,남태령,74.0,40.7,412.0,2.8,0.2,0.032,64.4,60.9
100,5,방화,27.1,10.3,483.5,3.4,0.6,0.015,24.3,12.5
101,5,개화산,28.9,17.4,468.5,3.5,0.7,0.015,96.9,15.4
102,5,김포공항,68.1,32.1,467.7,3.1,0.7,0.019,30.2,39.1
103,5,송정,31.8,20.8,439.0,2.8,0.8,0.019,17.1,28.2
104,5,마곡,66.9,32.5,477.0,3.4,0.9,0.019,64.3,11.4
105,5,발산,43.7,27.4,448.0,3.2,0.8,0.019,45.4,10.1
106,5,우장산,66.3,36.1,429.5,6.5,0.8,0.021,97.2,10.3
107,5,화곡,40.9,27.1,495.0,6.0,0.8,0.021,110.6,17.1
108,5,까치산,54.3,29.7,488.0,9.0,0.9,0.02,61.6,18.1
109,5,신정,61.0,18.6,424.0,6.3,0.8,0.018,110.5,25.9
110,5,목동,66.5,38.4,474.5,3.9,0.7,0.018,275.8,29.8
111,5,오목교,53.3,20.3,491.3,4.5,0.8,0.018,68.0,23.6
112,5,양평,49.2,28.0,442.5,4.1,0.8,0.018,101.1,28.2
113,5,영등포구청,73.7,35.0,505.5,4.7,0.8,0.019,153.9,21.0
114,5,영등포시장,67.8,44.9,517.0,7.7,0.8,0.017,97.9,31.6
115,5,신길,60.4,25.3,448.3,6.8,0.9,0.018,135.5,28.3
116,5,여의도,59.7,40.6,589.3,7.0,0.8,0.018,135.4,34.9
117,5,여의나루,59.0,25.3,423.3,4.6,0.8,0.018,148.8,45.8
118,5,마포,52.2,35.4,429.5,5.3,0.9,0.017,91.7,42.6
119,5,공덕,33.5,20.5,424.3,3.9,0.8,0.019,119.7,14.2
120,5,애오개,64.2,43.5,473.0,5.5,0.8,0.018,119.2,39.6
121,5,충정로,52.0,33.2,437.0,4.6,0.8,0.019,98.0,28.4
122,5,서대문,56.3,42.1,550.5,7.5,0.9,0.019,83.5,45.4
123,5,광화문,43.2,27.2,561.7,6.4,0.9,0.019,104.0,48.2
124,5,종로3가,49.4,34.3,516.0,8.9,0.9,0.018,80.4,63.2
125,5,을지로4가,53.3,24.0,466.3,7.1,0.8,0.018,203.4,39.1
126,5,동대문역사문화공원,39.3,25.5,439.5,6.3,0.8,0.019,391.7,49.8
127,5,청구,51.3,37.8,473.0,5.4,1.0,0.021,183.7,26.5
128,5,신금호,75.5,45.8,440.0,6.6,0.9,0.019,186.0,43.5
129,5,행당,56.8,24.2,451.5,4.7,1.0,0.02,103.4,43.0
130,5,왕십리,72.9,44.4,461.7,6.9,0.8,0.019,70.1,46.9
131,5,마장,66.1,39.1,438.0,6.0,0.9,0.019,67.0,29.5
132,5,답십리,34.1,23.8,639.0,9.2,0.8,0.019,165.2,22.4
133,5,장한평,36.7,25.7,562.0,7.0,1.0,0.019,101.7,36.9
134,5,군자,37.7,26.0,704.3,8.6,0.8,0.018,125.2,38.3
135,5,아차산,29.7,23.3,790.5,7.0,1.1,0.019,171.4,55.4
136,5,광나루,28.5,20.2,446.0,5.7,1.0,0.02,206.2,37.3
137,5,천호,30.5,20.4,688.3,6.5,1.0,0.02,129.8,33.2
138,5,강동,49.3,34.3,454.8,4.1,0.8,0.02,36.5,55.9
139,5,길동,27.3,21.0,442.0,4.5,0.8,0.021,43.6,22.3
140,5,굽은다리,28.0,21.5,435.0,4.0,0.9,0.019,114.0,34.4
141,5,명일,27.9,21.5,447.0,3.7,0.8,0.019,181.4,38.5
142,5,고덕,47.7,32.8,451.0,5.7,0.8,0.017,109.0,18.5
143,5,상일동,67.8,17.7,448.5,5.6,0.7,0.017,123.3,39.0
144,5,미사,33.9,22.8,463.3,3.9,0.7,0.017,102.9,19.1
145,5,하남풍산,33.5,21.4,484.0,4.4,0.7,0.017,41.3,17.9
146,5,둔촌동,40.1,22.1,457.5,3.5,0.9,0.017,21.2,40.8
147,5,올림픽공원,43.3,25.3,474.5,4.5,0.8,0.017,40.6,37.4
148,5,방이,66.1,49.4,467.5,5.3,0.8,0.018,68.6,27.4
149,5,오금,73.5,42.8,471.0,5.1,0.9,0.018,51.9,15.3
150,5,개롱,68.9,36.7,478.5,6.9,0.9,0.018,159.3,10.4
151,5,거여,74.9,33.9,507.5,6.8,1.1,0.018,294.3,13.6
152,5,마천,25.5,19.3,487.0,4.6,0.9,0.018,66.0,43.2
153,6,응암,60.1,31.0,478.0,6.8,0.8,0.017,57.6,29.3
154,6,역촌,39.1,24.8,471.0,5.4,0.9,0.017,51.6,33.5
155,6,불광,46.6,25.7,468.0,4.7,0.9,0.019,127.5,36.6
156,6,독바위,51.6,41.4,463.0,4.7,0.9,0.02,286.6,58.1
157,6,연신내,68.4,40.0,455.0,4.6,1.0,0.02,331.9,36.2
158,6,구산,77.6,38.6,460.5,5.1,1.1,0.019,60.1,35.9
159,6,새절,47.7,23.6,476.5,4.2,1.0,0.018,64.7,26.4
