역명,총 승객수
4.19민주묘지,4809
가능,13485
가락시장,36748
가산디지털단지,100628
가양,39330
가오리,7885
가좌,9505
가천대,14992
가평,4260
간석,12915
갈매,4634
강남,203667
강남구청,45180
강동,35788
강동구청,21660
강매,4787
강변,94645
강촌,771
개롱,13132
개봉,46929
개포동,5770
개화,10562
개화산,11530
거여,14316
건대입구,137453
검암,15928
경기광주,12674
경마공원,1692
경복궁,48317
경찰병원,15134
계양,19913
고덕,18900
고려대,18544
고속터미널,201646
고잔,16252
곡산,967
곤지암,4015
공덕,76183
공릉,24105
공항시장,6311
공항화물청사,5215
과천,8558
관악,14625
광나루,25159
광명,4122
광명사거리,53885
광운대,16563
광화문,84053
광흥창,18431
교대,89374
구로,43674
구로디지털단지,123543
구룡,2406
구리,28678
구반포,6391
구산,13909
구성,9216
구의,47948
구일,11924
구파발,39622
국수,1589
국회의사당,30199
군자,49825
군포,12624
굴봉산,266
굴포천,18615
굽은다리,19303
금곡,2798
금릉,9074
금정,49119
금천구청,23053
금촌,14421
금호,16913
기흥,18235
길동,16360
길음,42419
김유정,608
김포공항,55279
까치산,60327
까치울,13423
낙성대,56860
남구로,32998
남동인더스파크,3292
남부터미널,66890
남성,21987
남영,21341
남춘천,5741
남태령,2568
남한산성입구,25294
내방,26717
노들,8405
노량진,85267
노원,101475
녹번,24565
녹사평,12970
녹양,9037
녹천,8740
논현,37126
능곡,6686
단대오거리,21394
달월,180
답십리,32106
당고개,24477
당산,77048
당정,11882
대곡,2604
대공원,4563
대림,84924
대모산입구,5732
대방,28710
대성리,857
대야미,8142
대청,18636
대치,24914
대화,25521
대흥,16389
덕계,3601
덕소,11944
덕정,12540
도곡,23077
도농,16292
도림천,2150
도봉,12242
도봉산,30320
도심,4326
도원,8180
도화,7997
독립문,15041
독바위,5715
독산,29996
돌곶이,15996
동대문,77584
동대문역사문화공원,94342
동대입구,25211
동두천,4583
동두천중앙,7626
동묘앞,38380
동암,37143
동인천,33757
동작,7854
두정,9825
둔촌동,18397
둔촌오륜,1494
등촌,20915
디지털미디어시티,52550
뚝섬,33346
뚝섬유원지,13299
마곡,11604
마곡나루,21161
마두,16626
마들,23405
마석,7297
마장,13076
마천,10415
마포,27402
마포구청,27116
망우,15465
망원,29259
망월사,15488
망포,24781
매교,5268
매봉,20523
매탄권선,9004
먹골,21162
면목,30356
명동,100234
명일,16311
명학,15186
모란,52597
목동,37278
몽촌토성,12036
무악재,7753
문래,40128
문산,11652
문정,31904
미금,36851
미아,34117
미아사거리,61976
반월,9338
반포,12448
발산,31555
방배,33629
방이,14118
방학,20143
방화,14318
배방,1919
백마,12146
백석,24375
백양리,613
백운,16957
버티고개,4520
범계,58294
별내,4666
병점,27634
보라매,17284
보문,17250
보산,3968
보정,4651
복정,19891
봉명,2608
봉은사,42554
봉천,47595
봉화산,18982
부개,18692
부발,3353
부천,84355
부천시청,26444
부천종합운동장,8290
부평,87924
부평구청,19671
북한산보국문,11066
북한산우이,4436
불광,51856
사가정,32219
사당,132652
사릉,6378
사평,6109
산본,37591
산성,10709
삼각지,20786
삼동,3483
삼산체육관,9576
삼성,159643
삼성중앙,10652
삼송,32547
삼양,4307
삼양사거리,4910
삼전,9017
상갈,10339
상계,40320
상도,20120
상동,29813
상록수,38287
상봉,46701
상수,23745
상왕십리,28121
상월곡,10775
상일동,20368
상천,574
새절,25406
샛강,9867
서강대,3992
서대문,37330
서동탄,2816
서빙고,4354
서울대입구,105795
서울숲,12243
서울역,194273
서정리,9147
서초,47451
서현,62209
석계,46138
석수,19081
석촌,26828
석촌고분,7595
선릉,124246
선바위,15123
선유도,12170
선정릉,27576
성균관대,28375
성수,55077
성신여대입구,57186
성환,7173
세류,7226
세마,5205
세종대왕릉,497
소래포구,8939
소사,20255
소요산,5955
솔밭공원,4431
솔샘,10341
송내,61922
송도,5661
송정,17964
송탄,10185
송파,11582
송파나루,6120
수내,26704
수락산,26759
수리산,7509
수색,4324
수서,61808
수원,109054
수원시청,28735
수유,81545
수진,11066
숙대입구,31204
숭실대입구,25146
숭의,7095
시청,113670
신갈,9525
신금호,12942
신길,24109
신길온천,3049
신내,1484
신논현,65301
신답,3375
신당,46185
신대방,55176
신대방삼거리,32449
신도림,125209
신둔도예촌,2065
신림,141525
신목동,6817
신반포,5701
신방화,14602
신사,73016
신설동,45600
신용산,33391
신원,353
신이문,17912
신정,25697
신정네거리,19014
신중동,29077
신창,2547
신촌,106476
신포,4020
신풍,21450
신흥,10198
쌍문,63168
쌍용,3984
아산,5629
아신,1152
아차산,28696
아현,20382
안국,45718
안산,31296
안암,26496
안양,49371
암사,35383
압구정,71915
압구정로데오,32588
애오개,14337
야당,9078
야탑,58842
약수,35596
양수,3358
양원,3055
양재,74210
양정,1425
양주,16632
양천구청,13455
양천향교,15491
양평,19939
어린이대공원,25450
언주,15817
여의나루,14100
여의도,88536
여주,3752
역곡,58669
역삼,88327
역촌,8658
연수,10308
연신내,85974
염창,32304
영등포,113198
영등포구청,51609
영등포시장,20274
영종,4435
영통,18812
오금,18194
오류동,23798
오리,23517
오목교,53093
오빈,535
오산,20097
오산대,5242
오이도,18796
옥수,19165
온수,31768
온양온천,11350
올림픽공원,28855
왕십리,86156
외대앞,20489
용답,5437
용두,5118
용마산,11893
용문,4050
용산,91310
우장산,30343
운길산,1076
운서,13815
운정,10702
원당,22734
원덕,733
원인재,9007
원흥,15535
월계,10774
월곡,23993
월곶,4557
월드컵경기장,12636
월롱,3568
을지로3가,72751
을지로4가,39825
을지로입구,121523
응봉,2997
응암,36180
의왕,15759
의정부,47201
이대,42060
이매,16066
이수,33175
이천,5681
이촌,30960
이태원,51632
인덕원,45467
인천,10613
인천공항1터미널,33670
인천공항2터미널,10634
인천논현,13039
인하대,9717
일산,17272
일원,18858
잠실,238075
잠실나루,32418
잠실새내,54556
잠원,12181
장승배기,21954
장암,2888
장지,38468
장한평,36003
정릉,7901
정발산,20290
정부과천청사,21265
정왕,16372
정자,33474
제기동,43699
제물포,21760
종각,124961
종로3가,146453
종로5가,64192
종합운동장,24902
주안,44998
주엽,19698
죽전,31400
중계,28847
중곡,19604
중동,18701
중랑,11232
중앙,38866
중앙보훈병원,10141
중화,22899
증미,14203
증산,20403
지제,4266
지축,1951
지평,85
지행,14796
직산,1762
진위,2898
창동,59875
창신,6500
천마산,2724
천안,12654
천왕,16995
천호,85280
철산,47812
청구,14680
청담,39900
청라국제도시,11802
청량리,96804
청명,7942
청평,4045
초월,4897
초지,5991
총신대입구,45800
춘의,16603
춘천,3331
충무로,66054
충정로,30482
탄현,14545
태릉입구,26663
태평,29235
퇴계원,6637
파주,2334
판교,7206
팔당,1548
평내호평,11190
평촌,31202
평택,27215
풍산,9563
하계,37750
학동,37385
학여울,3228
한강진,15660
한남,8433
한대앞,16429
한성대입구,28963
한성백제,3365
한양대,17097
한티,29482
합정,102172
행당,15938
행신,14484
혜화,88496
호구포,6844
홍대입구,229901
홍제,37402
화계,6180
화곡,58688
화랑대,21017
화서,14550
화전,3338
화정,38328
회기,55403
회룡,24777
회현,58180
효창공원앞,18271
흑석,18158
