역명,총 승객수
가락시장,25630
가산디지털단지,88574
강남,106889
강남구청,35980
강동,26805
강동구청,15665
개롱,8691
개화산,7691
거여,10719
건대입구,67530
경복궁,22741
경찰병원,10124
고덕,12444
고려대,10617
고속터미널,114095
공덕,52984
공릉,16513
광나루,17154
광명사거리,35610
광화문,42278
광흥창,11713
교대,62184
구산,9810
구파발,28649
군자,36590
굽은다리,13766
금호,11813
길동,12304
길음,28393
김포공항,38179
까치산,43600
낙성대,38959
남구로,24701
남부터미널,42588
남성,16125
남태령,1403
남한산성입구,18690
내방,20875
노원,60790
녹번,20872
녹사평,6638
논현,28625
단대오거리,15091
답십리,23665
대림,51106
대청,13630
대치,14159
대흥,10894
도곡,15844
도림천,2484
독립문,10102
독바위,4220
돌곶이,12086
동대문,43740
동대문역사문화공원,41061
동대입구,9766
동묘앞,23061
둔촌동,11926
디지털미디어시티,39309
마곡,12993
마들,18522
마장,8389
마천,8278
마포,20066
마포구청,19603
망원,21257
매봉,16579
먹골,15623
면목,23429
명동,25482
명일,11916
모란,34774
목동,25208
몽촌토성,7831
무악재,5728
문래,31193
문정,28163
미사,18657
미아,22859
미아사거리,43381
반포,8395
발산,24274
방배,22195
방이,9411
방화,9410
버티고개,3050
보라매,13260
보문,12684
복정,13183
봉천,34819
봉화산,12793
불광,31681
사가정,25331
사당,81068
산성,9838
삼각지,13714
삼성,65077
상도,14269
상봉,34243
상수,11026
상왕십리,19694
상월곡,8531
상일동,21546
새절,18295
서대문,25768
서울대입구,66418
서울,94615
서초,28035
석계,31580
석촌,21820
선릉,90833
성신여대입구,33437
송정,9830
송파,11665
수락산,18764
수서,39666
수유,53805
수진,7715
숙대입구,17467
숭실대입구,16460
시청,61239
신금호,9225
신길,18274
신당,30753
신대방삼거리,24275
신도림,77404
신림,94241
신사,42575
신설동,29025
신용산,21997
신정,19012
신정네거리,14775
신촌,46956
신풍,16744
신흥,7608
쌍문,43950
아차산,20934
아현,14323
안국,19689
안암,12580
암사,26616
압구정,47588
애오개,9616
약수,23390
양재,52806
양천구청,9615
양평,14309
어린이대공원,15791
여의나루,8728
여의도,66572
역삼,65855
역촌,5951
연신내,55395
영등포구청,41447
영등포시장,14219
오금,12920
오목교,33500
온수,24186
올림픽공원,11598
왕십리,48556
용두,3749
용마산,8960
우장산,20051
월곡,16303
월드컵경기장,6800
을지로3가,44648
을지로4가,29439
을지로입구,57238
응암,26611
이대,15583
이촌,14197
이태원,12941
일원,13302
잠실,114057
잠실새내,28747
잠원,6275
장승배기,14553
장지,24471
장한평,27040
제기동,26078
종각,43635
종로3가,62363
종로5가,32964
종합운동장,14339
중계,19704
중곡,14459
중화,16878
증산,15293
창신,4468
천왕,15508
천호,53314
철산,31546
청구,11439
청담,28725
청량리,52782
총신대입구,28544
충무로,39472
충정로,21206
태릉입구,19196
하계,25062
하남풍산,7219
학동,32648
학여울,2321
한강진,9440
한성대입구,18703
합정,60153
행당,11209
혜화,41240
홍대입구,77569
홍제,25059
화곡,41699
화랑대,13667
회현,34285
효창공원앞,14233
