역명,총 승객수
가락시장,38272
가산디지털단지,117179
강남,210773
강남구청,52333
강동,40744
강동구청,23269
개롱,14025
개화산,11553
거여,16002
건대입구,138117
경복궁,45114
경찰병원,15927
고덕,20320
고려대,18823
고속터미널,209031
공덕,81359
공릉,25408
광나루,27460
광명사거리,53771
광화문,87899
광흥창,20201
교대,96780
구산,14706
구파발,45661
군자,54131
굽은다리,20564
금호,17525
길동,16986
길음,44460
김포공항,59261
까치산,63119
낙성대,60122
남구로,34548
남부터미널,68913
남성,23319
남태령,2528
남한산성입구,26961
내방,28562
노원,102792
녹번,27715
녹사평,12839
논현,40047
단대오거리,22229
답십리,34001
대림,82546
대청,20291
대치,25905
대흥,18033
도곡,26727
도림천,2458
독립문,16656
독바위,6027
돌곶이,17618
동대문,80337
동대문역사문화공원,105102
동대입구,26618
동묘앞,36502
둔촌동,18918
디지털미디어시티,57709
마곡,13775
마들,24845
마장,12945
마천,10469
마포,29852
마포구청,28227
망원,31939
매봉,22796
먹골,21927
면목,32607
명동,91262
명일,18295
모란,54347
목동,38809
몽촌토성,11716
무악재,8637
문래,43850
문정,38753
미아,33786
미아사거리,66667
반포,13135
발산,38694
방배,36401
방이,15723
방화,14348
버티고개,4744
보라매,18664
보문,18194
복정,20939
봉천,50860
봉화산,19720
불광,48928
사가정,33186
사당,138949
산성,10938
삼각지,23805
삼성,160059
상도,22414
상봉,49554
상수,25279
상왕십리,30075
상월곡,12544
상일동,28693
새절,27358
서대문,40241
서울대입구,106528
서울,210272
서초,50424
석계,48204
석촌,33255
선릉,138877
성신여대입구,58932
송정,14633
송파,20162
수락산,26775
수서,65989
수유,81595
수진,12121
숙대입구,31863
숭실대입구,25830
시청,119451
신금호,13813
신길,25711
신당,49469
신대방삼거리,34243
신도림,128232
신림,145970
신사,73976
신설동,45017
신용산,36650
신정,26209
신정네거리,20085
신촌,106472
신풍,23043
신흥,11146
쌍문,65320
아차산,31618
아현,21501
안국,50775
안암,26693
암사,37291
압구정,76527
애오개,15419
약수,37110
양재,80869
양천구청,14629
양평,20982
어린이대공원,30630
여의나루,14317
여의도,97596
역삼,103940
역촌,8977
연신내,87787
영등포구청,55340
영등포시장,21357
오금,19983
오목교,54787
온수,34705
올림픽공원,48704
왕십리,85687
용두,5175
용마산,12175
우장산,32075
월곡,25431
월드컵경기장,12415
을지로3가,78214
을지로4가,44384
을지로입구,125321
응암,37395
이대,37903
이촌,29183
이태원,46519
일원,21662
잠실,256037
잠실새내,53559
잠원,12457
장승배기,22365
장지,39355
장한평,38484
제기동,39113
종각,122250
종로3가,135210
종로5가,60824
종합운동장,27613
중계,30207
중곡,20225
중화,24145
증산,21644
창신,6616
천왕,19722
천호,87193
철산,49703
청구,16398
청담,43250
청량리,87423
총신대입구,45661
충무로,66939
충정로,31677
태릉입구,29146
하계,40104
학동,44974
학여울,3582
한강진,19866
한성대입구,30694
합정,105683
행당,16765
혜화,92704
홍대입구,226879
홍제,37782
화곡,60996
화랑대,22197
회현,65117
효창공원앞,20381
