,Unnamed: 0,역명,설치대수,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수,연도,오염_등급,오염_점수,공기청정기_군집,공기청정기_효용_상태
58,5,신설동,22,97.1,564.0,44.5,0.4,30975.0,7123,2,63.024376766453244,3,과잉
59,5,신설동,22,94.5,531.0,29.3,0.5,30975.0,7123,2,61.46437676645325,3,과잉
60,5,신설동,22,92.0,574.0,7.9,1.0,45600.0,8123,2,62.21390090557766,3,과잉
61,5,신설동,22,95.7,396.0,1.7,1.0,45600.0,8123,2,64.43390090557767,3,과잉
62,5,신설동,22,98.5,511.0,11.2,1.1,45017.0,9123,2,66.02422756724539,3,과잉
63,5,신설동,22,70.1,476.0,15.8,0.6,45017.0,9123,1,48.984227567245384,3,과잉
64,5,신설동,22,96.5,558.0,9.2,2.7,29025.0,123,2,62.364440214569996,3,과잉
65,5,신설동,22,42.5,516.0,6.4,3.1,29025.0,123,0,29.964440214569997,3,과잉
66,5,신설동,22,77.5,556.0,7.9,1.3,33985.0,1123,1,51.727355751667915,3,과잉
67,5,신설동,22,57.7,701.0,6.8,0.7,33985.0,1123,0,39.84735575166791,3,과잉
68,5,신설동,22,64.8,517.0,6.9,0.6,26371.0,2123,0,42.93621887677606,3,과잉
69,5,신설동,22,24.4,455.0,6.6,0.8,26371.0,2123,0,18.696218876776065,3,과잉
70,5,신설동,22,0.0,"12    524.068919
dtype: float64","12    5.317039
dtype: float64","12    0.91306
dtype: float64",0.0,2023,0,0.0,3,과잉
71,6,제기동,20,98.7,518.0,12.0,0.5,28119.0,7123,2,63.545085078156546,3,과잉
72,6,제기동,20,98.0,528.0,9.7,0.9,43699.0,8123,2,65.52150122089557,3,과잉
73,6,제기동,20,97.8,497.0,13.7,0.8,39113.0,9123,2,64.6961119763127,3,과잉
74,6,제기동,20,84.3,422.0,5.8,2.6,26078.0,123,1,54.5911514871854,3,과잉
75,6,제기동,20,90.2,511.0,9.5,0.9,30670.0,1123,2,58.83746361346638,3,과잉
76,6,제기동,20,71.0,442.0,4.2,0.5,32189.0,2123,1,47.55110649670262,3,과잉
77,6,제기동,20,0.0,"6    488.157327
dtype: float64","6    8.680012
dtype: float64","6    0.998161
dtype: float64",0.0,2023,0,0.0,3,과잉
78,7,청량리,14,89.5,503.0,32.5,0.6,78953.0,7123,2,65.84404645171213,2,적합
79,7,청량리,14,84.9,518.0,11.4,1.4,96804.0,8123,1,65.82977331718291,2,적합
80,7,청량리,14,91.5,550.0,14.4,0.7,87423.0,9123,2,68.34684778219992,2,적합
81,7,청량리,14,34.9,447.0,8.3,2.6,52782.0,123,0,29.05859029820615,2,적합
82,7,청량리,14,37.3,503.0,4.5,0.9,69635.0,1123,0,33.09081117455923,2,적합
83,7,청량리,14,56.8,452.0,6.0,0.8,68855.0,2123,0,44.67083655380593,2,적합
84,7,청량리,14,0.0,"6    485.075489
dtype: float64","6    6.000002
dtype: float64","6    1.340617
dtype: float64",0.0,2023,0,0.0,2,적합
