연번,호선,역명,미세먼지,이산화탄소,포름알데히드,일산화탄소,이산화질소,휘발성유기화합물,라돈
115,5,영등포시장,77.9,492,9.9,0.9,0.019,10.2,46.3
116,5,신길,70.4,558,13.6,1.0,0.02,10.2,29.7
117,5,여의도,81.3,550,9.2,0.9,0.024,22.0,34.3
118,5,여의나루,71.0,526,5.4,1.0,0.019,9.4,20.7
119,5,마포,67.6,554,9.8,1.1,0.017,8.7,31.5
120,5,공덕,83.1,557,9.7,1.1,0.02,7.7,35.3
121,5,애오개,81.0,594,14.7,1.2,0.023,13.5,22.0
122,5,충정로,75.9,622,9.5,1.2,0.02,34.3,31.0
123,5,서대문,81.0,529,14.2,1.2,0.018,102.9,27.5
124,5,광화문,80.4,516,15.6,1.1,0.023,22.1,54.7
125,5,종로3가,85.1,554,27.7,1.2,0.019,19.6,38.0
126,5,을지로4가,66.8,531,15.4,1.4,0.022,78.9,47.0
127,5,동대문역사문화공원,94.5,536,17.8,1.3,0.019,478.1,58.0
128,5,청구,78.8,504,10.0,1.3,0.018,41.5,42.5
129,5,신금호,68.5,491,13.4,1.2,0.025,47.2,48.0
130,5,행당,81.7,545,11.3,1.2,0.017,27.0,37.5
131,5,왕십리,88.0,561,15.2,1.2,0.019,62.0,38.0
132,5,마장,75.3,620,10.5,1.5,0.016,36.7,40.0
133,5,답십리,74.5,644,13.7,1.3,0.015,46.3,20.5
134,5,장한평,84.3,622,9.5,1.1,0.018,20.1,26.0
135,5,군자,88.5,679,13.4,1.2,0.019,52.2,17.0
136,5,아차산,62.0,545,8.6,0.9,0.017,30.9,19.0
137,5,광나루,73.9,554,11.9,0.9,0.019,24.9,24.0
138,5,천호,69.8,546,11.8,1.1,0.019,36.5,25.3
139,5,강동,76.7,611,12.3,1.0,0.018,20.0,41.8
140,5,길동,85.5,573,7.8,0.9,0.023,9.9,26.0
141,5,굽은다리,66.9,624,9.3,0.9,0.014,6.9,23.0
142,5,명일,71.6,619,7.1,1.0,0.016,46.5,29.5
143,5,고덕,80.3,631,6.3,1.0,0.022,21.3,26.5
144,5,상일동,90.3,625,9.4,0.9,0.026,297.4,24.0
145,5,둔촌동,83.7,638,11.5,1.0,0.018,16.1,19.0
146,5,올림픽공원,84.6,654,7.9,1.1,0.019,35.5,25.0
147,5,방이,91.3,633,8.4,1.1,0.026,9.2,19.0
148,5,오금,68.8,619,10.2,1.1,0.022,16.6,13.5
149,5,개롱,68.2,616,8.9,0.9,0.024,10.1,25.0
150,5,거여,77.0,669,12.9,1.2,0.027,6.1,15.0
151,5,마천,76.1,598,14.7,1.0,0.033,21.0,34.5
152,6,응암,73.2,451,7.4,0.9,0.028,24.5,36.5
153,6,역촌,84.0,443,9.6,0.8,0.027,10.5,32.5
154,6,불광,90.7,479,9.6,0.9,0.027,42.9,30.5
155,6,독바위,96.5,453,12.4,0.8,0.03,21.4,50.0
156,6,연신내,79.3,502,12.6,0.9,0.026,30.9,27.0
157,6,구산,76.6,486,12.8,1.0,0.025,23.0,59.0
158,6,새절,87.4,568,9.5,0.8,0.027,7.0,28.5
159,6,증산,82.8,501,33.3,0.9,0.026,8.4,32.0
160,6,디지털미디어시티,72.6,441,17.1,0.8,0.028,24.7,13.0
161,6,월드컵경기장,95.0,431,8.8,0.9,0.027,10.2,10.0
162,6,마포구청,92.7,465,9.9,1.0,0.025,11.3,10.0
163,6,망원,96.4,497,12.5,1.2,0.025,19.7,9.0
164,6,합정,85.7,501,10.0,1.2,0.025,81.8,13.7
165,6,상수,101.6,519,12.7,1.4,0.026,46.9,15.5
166,6,광흥창,89.5,489,10.0,1.2,0.026,21.2,14.0
167,6,대흥,101.3,532,10.6,1.3,0.025,21.7,15.0
168,6,공덕,116.2,498,12.9,0.9,0.026,23.3,15.3
169,6,효창공원앞,106.9,473,9.7,1.1,0.026,15.0,18.0
170,6,삼각지,103.6,492,10.0,0.8,0.023,30.6,21.7
171,6,녹사평,92.0,469,10.6,1.0,0.021,22.8,21.7
172,6,이태원,112.6,507,11.8,1.1,0.023,49.3,14.0
173,6,한강진,93.8,431,11.5,0.9,0.022,47.6,15.5
174,6,버티고개,116.2,499,10.9,1.1,0.022,32.2,28.0
175,6,약수,114.9,542,9.1,1.1,0.025,22.7,18.5
176,6,청구,74.3,490,10.8,1.6,0.025,40.4,17.0
177,6,신당,67.9,496,26.6,1.3,0.022,21.1,25.7
178,6,동묘앞,61.3,508,11.3,1.5,0.024,29.2,19.0
179,6,창신,93.9,490,11.6,1.1,0.023,42.1,30.0
180,6,보문,74.7,539,12.6,1.3,0.022,48.8,38.5
181,6,안암,67.9,555,11.2,1.4,0.028,109.1,37.5
182,6,고려대,64.1,472,16.2,0.8,0.018,33.4,75.0
183,6,월곡,76.3,486,11.3,1.0,0.024,11.5,60.0
184,6,상월곡,86.7,517,20.0,1.1,0.023,260.9,14.0
185,6,돌곶이,70.1,506,10.4,1.0,0.027,19.2,22.0
186,6,석계,86.7,478,22.4,0.9,0.021,40.7,34.3
187,6,태릉입구,83.6,492,10.1,1.0,0.021,33.6,25.3
188,6,화랑대,67.7,474,11.3,0.8,0.02,18.7,23.0
189,6,봉화산,73.9,477,8.3,0.8,0.021,21.7,44.0
190,7,수락산,93.0,610,14.2,1.0,0.022,12.1,31.7
191,7,마들,80.2,629,14.3,1.0,0.017,13.9,81.0
192,7,노원,76.5,673,10.5,1.1,0.02,9.5,54.0
193,7,중계,76.6,679,10.0,1.1,0.019,31.2,46.0
194,7,하계,81.0,686,9.0,1.1,0.027,25.5,49.0
195,7,공릉,69.4,635,9.3,1.1,0.021,414.6,43.0
196,7,태릉입구,76.3,643,14.5,1.3,0.025,56.1,34.7
197,7,먹골,66.4,706,15.7,1.2,0.026,99.5,35.0
198,7,중화,93.1,667,11.3,1.2,0.02,27.3,39.0
199,7,상봉,78.8,710,15.9,1.2,0.022,22.8,20.0
200,7,면목,60.4,672,10.7,1.3,0.022,13.3,27.5
201,7,사가정,72.9,728,12.0,1.0,0.021,17.6,34.0
202,7,용마산,80.4,642,12.1,1.0,0.02,18.3,29.0
203,7,중곡,63.2,598,12.5,1.0,0.021,36.1,39.0
204,7,군자,70.0,715,11.9,1.0,0.027,25.1,35.5
205,7,어린이대공원,69.3,669,10.4,0.9,0.027,332.3,36.0
206,7,건대입구,64.6,754,15.1,1.0,0.021,31.5,35.0
207,7,청담,60.4,649,16.2,1.0,0.025,35.6,9.0
208,7,강남구청,72.1,633,14.8,1.0,0.025,24.7,25.7
209,7,학동,87.8,708,25.7,1.3,0.021,8.8,9.0
210,7,논현,86.8,655,24.3,1.3,0.024,34.0,11.7
211,7,반포,62.4,621,13.4,1.1,0.022,50.0,9.7
212,7,고속터미널,67.6,728,18.5,1.2,0.025,50.3,9.3
213,7,내방,61.1,603,13.7,1.1,0.022,44.6,10.5
215,7,남성,68.2,616,12.1,1.0,0.023,108.2,22.0
216,7,숭실대입구,63.5,591,16.3,1.0,0.016,21.2,39.5
217,7,상도,71.7,561,11.5,1.0,0.023,23.5,46.5
218,7,장승배기,61.3,591,11.6,1.1,0.018,31.8,35.5
219,7,신대방삼거리,85.9,542,14.6,1.2,0.02,11.9,26.0
220,7,보라매,86.3,519,36.9,1.0,0.016,5.6,29.0
221,7,신풍,89.4,578,15.7,1.3,0.019,151.2,34.0
222,7,대림,90.8,616,17.8,1.2,0.015,7.3,24.5
223,7,남구로,66.8,570,22.8,1.3,0.018,3.6,44.0
224,7,가산디지털단지,79.1,560,19.7,1.0,0.013,6.7,43.0
225,7,철산,70.5,559,15.6,1.1,0.019,22.7,25.0
226,7,광명사거리,72.2,570,17.2,1.3,0.017,26.6,10.5
227,7,천왕,110.5,570,20.1,1.1,0.016,10.8,27.3
228,7,온수,75.2,464,14.5,0.9,0.014,5.9,13.3
238,8,암사,76.2,654,10.8,1.0,0.023,4.6,11.0
239,8,천호,71.8,549,10.9,0.8,0.024,13.3,14.0
240,8,강동구청,71.5,602,8.4,1.0,0.022,10.4,15.5
241,8,몽촌토성,66.5,625,11.4,1.1,0.027,42.4,12.0
242,8,잠실,73.0,673,14.5,1.0,0.025,45.8,17.7
243,8,석촌,85.1,636,10.4,1.0,0.02,17.2,11.0
244,8,송파,72.1,644,11.6,1.1,0.025,14.9,14.0
245,8,가락시장,83.8,649,8.6,1.0,0.022,15.7,10.0
246,8,문정,78.6,676,6.4,1.2,0.024,54.7,14.0
247,8,장지,66.7,586,23.6,0.9,0.021,38.6,16.0
248,8,복정,80.0,628,7.3,1.0,0.02,17.0,24.5
249,8,산성,60.0,568,6.9,0.9,0.024,18.6,19.5
250,8,남한산성입구,71.2,664,9.6,1.1,0.021,36.6,22.5
251,8,단대오거리,68.9,638,11.3,1.0,0.025,27.3,17.5
252,8,신흥,76.9,673,27.2,1.2,0.023,566.4,34.0
253,8,수진,61.0,630,12.5,1.2,0.022,161.7,17.5
254,8,모란,76.1,643,8.1,1.1,0.022,19.0,19.0
