연번,호선,역명,미세먼지,초미세먼지,이산화탄소,포름알데히드,일산화탄소
123,5,서대문,67.7,38.4,669,7.3,0.6
124,5,광화문,75.0,35.5,596,8.1,0.8
125,5,종로3가,63.0,39.5,707,8.3,0.7
126,5,을지로4가,41.2,22.4,554,6.6,1.0
127,5,동대문역사문화공원,52.9,25.3,606,7.1,0.8
128,5,청구,41.9,19.2,566,5.7,0.8
129,5,신금호,59.6,33.9,588,6.9,0.7
130,5,행당,37.3,17.7,624,6.6,0.9
131,5,왕십리,44.8,33.1,695,8.2,0.7
132,5,마장,33.6,25.1,570,6.2,0.9
133,5,답십리,35.0,15.3,589,6.4,0.8
134,5,장한평,40.8,22.6,647,8.1,1.4
135,5,군자,43.3,21.3,643,9.5,0.9
136,5,아차산,34.7,21.7,539,11.6,1.0
137,5,광나루,30.8,19.4,511,10.7,0.7
138,5,천호,41.7,22.7,612,10.1,0.9
139,5,강동,51.0,35.2,580,7.3,0.8
140,5,길동,41.4,23.5,580,10.1,0.8
141,5,굽은다리,33.4,25.6,542,6.7,1.0
142,5,명일,40.7,29.1,544,7.7,0.9
143,5,고덕,35.5,22.6,503,7.2,1.2
144,5,상일동,44.0,32.1,532,6.5,1.0
145,5,둔촌동,43.5,31.0,576,7.9,1.5
146,5,올림픽공원,63.0,24.8,532,6.4,1.0
147,5,방이,36.8,20.5,548,7.4,1.2
148,5,오금,60.1,30.8,509,10.0,1.0
149,5,개롱,32.6,24.1,549,7.8,1.1
150,5,거여,42.2,31.0,550,7.1,1.1
151,5,마천,46.3,32.1,525,7.7,1.2
152,6,응암,44.2,27.9,600,12.1,1.0
153,6,역촌,36.9,20.7,600,11.4,1.2
154,6,불광,55.8,23.7,553,12.1,1.2
155,6,독바위,30.6,18.2,642,10.6,1.3
156,6,연신내,34.4,24.9,555,13.4,1.2
157,6,구산,40.4,19.7,614,11.5,1.0
158,6,새절,32.6,21.9,600,12.6,1.0
159,6,증산,32.6,22.4,550,12.1,1.2
160,6,디지털미디어시티,35.7,24.5,581,13.6,1.0
161,6,월드컵경기장,36.5,20.6,613,6.7,1.0
162,6,마포구청,45.6,25.5,611,8.6,1.0
163,6,망원,40.1,27.3,601,6.1,1.2
164,6,합정,42.5,21.8,614,11.8,1.2
165,6,상수,31.0,22.3,638,13.1,1.3
166,6,광흥창,38.5,22.4,599,12.7,1.2
167,6,대흥,45.6,19.8,606,11.1,1.1
168,6,공덕,40.2,21.7,613,13.0,1.1
169,6,효창공원앞,68.4,22.7,611,12.5,1.3
170,6,삼각지,54.9,29.1,581,14.9,1.1
171,6,녹사평,42.6,23.1,622,12.6,1.1
172,6,이태원,42.4,26.5,595,18.3,1.2
173,6,한강진,42.2,25.4,602,12.1,1.3
174,6,버티고개,53.2,27.1,615,11.2,1.1
175,6,약수,51.1,25.0,649,14.5,1.3
176,6,청구,47.7,28.8,603,10.5,0.9
177,6,신당,40.5,24.5,617,15.5,1.1
178,6,동묘앞,37.2,23.2,636,10.3,1.1
179,6,창신,52.1,34.1,602,7.7,1.2
180,6,보문,37.7,25.1,624,8.2,1.2
181,6,안암,44.0,29.1,572,10.9,1.2
182,6,고려대,45.7,31.6,607,8.9,1.4
183,6,월곡,51.2,33.7,633,8.4,1.3
184,6,상월곡,36.6,27.1,613,9.3,1.3
185,6,돌곶이,41.6,22.9,636,20.3,1.3
186,6,석계,46.1,29.9,605,10.3,1.1
187,6,태릉입구,29.8,18.2,615,30.3,1.3
188,6,화랑대,29.8,18.7,623,20.8,1.2
189,6,봉화산,33.8,23.3,605,15.0,1.2
190,7,수락산,85.8,36.8,644,6.7,0.5
191,7,마들,91.9,48.2,654,7.8,0.5
192,7,노원,48.9,28.5,634,8.0,0.5
193,7,중계,53.9,29.6,665,6.0,0.5
194,7,하계,58.4,32.7,567,6.8,0.5
195,7,공릉,45.6,22.1,558,7.1,0.6
196,7,태릉입구,48.7,17.2,582,7.3,0.6
197,7,먹골,39.1,20.3,598,8.0,0.7
198,7,중화,37.9,18.1,571,8.2,0.6
199,7,상봉,31.6,22.1,604,7.8,0.5
200,7,면목,39.1,21.3,585,10.2,0.6
201,7,사가정,35.7,17.9,611,10.0,0.5
202,7,용마산,40.4,21.3,551,8.4,0.5
203,7,중곡,39.5,15.8,583,10.2,0.5
204,7,군자,36.4,20.9,589,7.5,0.5
205,7,어린이대공원,36.6,20.5,588,9.2,0.5
206,7,건대입구,69.1,45.9,574,8.0,0.4
207,7,청담,49.8,34.0,587,9.5,0.5
208,7,강남구청,48.0,29.5,572,8.7,0.6
209,7,학동,58.5,39.4,587,9.9,0.5
210,7,논현,48.9,37.6,622,8.6,0.6
211,7,반포,30.1,18.4,615,7.6,0.6
212,7,고속터미널,54.4,24.5,589,8.0,0.7
213,7,내방,57.5,25.9,539,9.5,0.6
215,7,남성,40.9,18.9,588,11.6,0.6
216,7,숭실대입구,74.0,20.2,557,10.0,0.6
217,7,상도,31.4,22.7,589,8.5,0.6
218,7,장승배기,36.7,19.1,601,8.7,0.6
219,7,신대방삼거리,43.1,32.1,556,7.5,0.8
220,7,보라매,47.7,25.8,595,9.1,0.6
221,7,신풍,53.3,32.0,551,11.4,0.7
222,7,대림,55.5,19.4,545,9.1,0.6
223,7,남구로,56.9,27.1,546,10.9,0.6
224,7,가산디지털단지,52.3,16.7,610,8.5,0.9
225,7,철산,74.1,35.9,522,16.2,0.9
226,7,광명사거리,47.2,17.9,583,8.8,0.6
227,7,천왕,42.8,29.2,579,12.0,0.5
228,7,온수,53.8,26.8,582,7.5,0.5
238,8,암사,44.5,26.0,606,11.0,0.6
239,8,천호,39.7,21.6,601,9.6,0.9
240,8,강동구청,38.9,21.4,653,14.3,0.7
241,8,몽촌토성,45.3,27.4,588,10.1,0.6
242,8,잠실,32.3,22.1,608,10.7,0.7
243,8,석촌,47.9,29.5,581,9.4,0.9
244,8,송파,41.9,21.9,598,10.6,1.0
245,8,가락시장,54.2,29.9,602,9.6,0.9
246,8,문정,42.5,22.0,599,10.1,0.8
247,8,장지,43.9,25.4,640,7.2,1.0
248,8,복정,61.8,21.9,601,9.6,0.8
249,8,산성,34.8,23.6,557,9.6,0.9
250,8,남한산성입구,45.8,24.9,632,11.6,0.9
251,8,단대오거리,41.2,20.6,614,11.0,1.1
252,8,신흥,45.2,26.7,598,21.6,1.1
253,8,수진,40.2,26.4,606,12.3,1.0
254,8,모란,51.1,28.1,614,8.2,1.2
